time,tp,hotspot
January 1950,0.17788541,USHighPlain
February 1950,0.230955,USHighPlain
March 1950,0.22265232,USHighPlain
April 1950,0.39459965,USHighPlain
May 1950,0.77890253,USHighPlain
June 1950,0.4526386,USHighPlain
July 1950,1.0891082,USHighPlain
August 1950,0.7040563,USHighPlain
September 1950,0.51317346,USHighPlain
October 1950,0.13618386,USHighPlain
November 1950,0.09093893,USHighPlain
December 1950,0.04443644,USHighPlain
January 1951,0.15744925,USHighPlain
February 1951,0.30260617,USHighPlain
March 1951,0.32967305,USHighPlain
April 1951,0.5536258,USHighPlain
May 1951,0.99967134,USHighPlain
June 1951,1.2917955,USHighPlain
July 1951,0.7175994,USHighPlain
August 1951,0.535022,USHighPlain
September 1951,0.71991277,USHighPlain
October 1951,0.35278738,USHighPlain
November 1951,0.16041219,USHighPlain
December 1951,0.1437293,USHighPlain
January 1952,0.13135809,USHighPlain
February 1952,0.23330986,USHighPlain
March 1952,0.5165233,USHighPlain
April 1952,0.70807767,USHighPlain
May 1952,0.5021455,USHighPlain
June 1952,0.24127814,USHighPlain
July 1952,0.3461458,USHighPlain
August 1952,0.41144,USHighPlain
September 1952,0.12005928,USHighPlain
October 1952,0.023969792,USHighPlain
November 1952,0.36492372,USHighPlain
December 1952,0.17385575,USHighPlain
January 1953,0.1255677,USHighPlain
February 1953,0.2775349,USHighPlain
March 1953,0.36475515,USHighPlain
April 1953,0.47781497,USHighPlain
May 1953,0.4587911,USHighPlain
June 1953,0.36444557,USHighPlain
July 1953,0.53486997,USHighPlain
August 1953,0.36460307,USHighPlain
September 1953,0.17778325,USHighPlain
October 1953,0.32277977,USHighPlain
November 1953,0.34235653,USHighPlain
December 1953,0.24733658,USHighPlain
January 1954,0.07331907,USHighPlain
February 1954,0.22547698,USHighPlain
March 1954,0.23941256,USHighPlain
April 1954,0.47606266,USHighPlain
May 1954,0.75532645,USHighPlain
June 1954,0.3465134,USHighPlain
July 1954,0.1751216,USHighPlain
August 1954,0.47779828,USHighPlain
September 1954,0.15760681,USHighPlain
October 1954,0.41274732,USHighPlain
November 1954,0.048046008,USHighPlain
December 1954,0.12808281,USHighPlain
January 1955,0.20019843,USHighPlain
February 1955,0.31696463,USHighPlain
March 1955,0.21371658,USHighPlain
April 1955,0.44006294,USHighPlain
May 1955,0.79826367,USHighPlain
June 1955,0.7345005,USHighPlain
July 1955,0.22762454,USHighPlain
August 1955,0.24463904,USHighPlain
September 1955,0.5029304,USHighPlain
October 1955,0.24845877,USHighPlain
November 1955,0.07722447,USHighPlain
December 1955,0.10823258,USHighPlain
January 1956,0.16075486,USHighPlain
February 1956,0.19314775,USHighPlain
March 1956,0.12522224,USHighPlain
April 1956,0.3057598,USHighPlain
May 1956,0.5003075,USHighPlain
June 1956,0.25942314,USHighPlain
July 1956,0.35515055,USHighPlain
August 1956,0.3097648,USHighPlain
September 1956,0.07314495,USHighPlain
October 1956,0.26847765,USHighPlain
November 1956,0.20653325,USHighPlain
December 1956,0.10528355,USHighPlain
January 1957,0.13336742,USHighPlain
February 1957,0.1705418,USHighPlain
March 1957,0.6242378,USHighPlain
April 1957,0.81384915,USHighPlain
May 1957,1.1600904,USHighPlain
June 1957,0.88567996,USHighPlain
July 1957,0.408444,USHighPlain
August 1957,0.287261,USHighPlain
September 1957,0.5468072,USHighPlain
October 1957,0.503942,USHighPlain
November 1957,0.31197298,USHighPlain
December 1957,0.11516998,USHighPlain
January 1958,0.2080341,USHighPlain
February 1958,0.34153014,USHighPlain
March 1958,0.5798413,USHighPlain
April 1958,0.598083,USHighPlain
May 1958,0.5599275,USHighPlain
June 1958,0.63213146,USHighPlain
July 1958,1.0237503,USHighPlain
August 1958,0.37037963,USHighPlain
September 1958,0.4800869,USHighPlain
October 1958,0.07872526,USHighPlain
November 1958,0.25375718,USHighPlain
December 1958,0.1266208,USHighPlain
January 1959,0.17568818,USHighPlain
February 1959,0.18411808,USHighPlain
March 1959,0.5036131,USHighPlain
April 1959,0.40524894,USHighPlain
May 1959,0.89086235,USHighPlain
June 1959,0.4868916,USHighPlain
July 1959,0.5417632,USHighPlain
August 1959,0.4554716,USHighPlain
September 1959,0.6530293,USHighPlain
October 1959,0.6804443,USHighPlain
November 1959,0.09698904,USHighPlain
December 1959,0.30306777,USHighPlain
January 1960,0.35239223,USHighPlain
February 1960,0.47566745,USHighPlain
March 1960,0.3524392,USHighPlain
April 1960,0.46849787,USHighPlain
May 1960,0.6880809,USHighPlain
June 1960,0.69771874,USHighPlain
July 1960,0.5242125,USHighPlain
August 1960,0.5643525,USHighPlain
September 1960,0.42988902,USHighPlain
October 1960,0.47246957,USHighPlain
November 1960,0.10455664,USHighPlain
December 1960,0.26501998,USHighPlain
January 1961,0.045826644,USHighPlain
February 1961,0.22822982,USHighPlain
March 1961,0.53299606,USHighPlain
April 1961,0.39187714,USHighPlain
May 1961,0.8598846,USHighPlain
June 1961,0.5849131,USHighPlain
July 1961,0.51228356,USHighPlain
August 1961,0.46810815,USHighPlain
September 1961,0.7015881,USHighPlain
October 1961,0.28850198,USHighPlain
November 1961,0.40552804,USHighPlain
December 1961,0.17363185,USHighPlain
January 1962,0.16760105,USHighPlain
February 1962,0.27710927,USHighPlain
March 1962,0.3250214,USHighPlain
April 1962,0.32714134,USHighPlain
May 1962,0.5783682,USHighPlain
June 1962,0.9359967,USHighPlain
July 1962,0.6937552,USHighPlain
August 1962,0.31751734,USHighPlain
September 1962,0.59471107,USHighPlain
October 1962,0.22345378,USHighPlain
