time,t2m,hotspot
January 1950,271.74377,USHighPlain
February 1950,275.34656,USHighPlain
March 1950,276.63797,USHighPlain
April 1950,283.01526,USHighPlain
May 1950,289.33597,USHighPlain
June 1950,296.3293,USHighPlain
July 1950,295.5352,USHighPlain
August 1950,295.45145,USHighPlain
September 1950,291.73544,USHighPlain
October 1950,289.65994,USHighPlain
November 1950,278.12796,USHighPlain
December 1950,273.9206,USHighPlain
January 1951,271.92056,USHighPlain
February 1951,275.18417,USHighPlain
March 1951,275.73358,USHighPlain
April 1951,282.71054,USHighPlain
May 1951,290.24075,USHighPlain
June 1951,292.7646,USHighPlain
July 1951,297.7608,USHighPlain
August 1951,298.36597,USHighPlain
September 1951,291.47937,USHighPlain
October 1951,286.05478,USHighPlain
November 1951,276.4194,USHighPlain
December 1951,271.76013,USHighPlain
January 1952,273.64374,USHighPlain
February 1952,275.9286,USHighPlain
March 1952,274.7082,USHighPlain
April 1952,283.6693,USHighPlain
May 1952,290.15097,USHighPlain
June 1952,299.71265,USHighPlain
July 1952,299.51654,USHighPlain
August 1952,299.3108,USHighPlain
September 1952,295.08472,USHighPlain
October 1952,286.5196,USHighPlain
November 1952,277.45355,USHighPlain
December 1952,271.71332,USHighPlain
January 1953,274.91663,USHighPlain
February 1953,275.101,USHighPlain
March 1953,280.25827,USHighPlain
April 1953,282.49417,USHighPlain
May 1953,289.65735,USHighPlain
June 1953,299.57678,USHighPlain
July 1953,298.71722,USHighPlain
August 1953,298.12827,USHighPlain
September 1953,295.32904,USHighPlain
October 1953,289.17563,USHighPlain
November 1953,279.0458,USHighPlain
December 1953,273.15628,USHighPlain
January 1954,272.03934,USHighPlain
February 1954,279.72873,USHighPlain
March 1954,276.91333,USHighPlain
April 1954,287.2117,USHighPlain
May 1954,287.77402,USHighPlain
June 1954,297.65048,USHighPlain
July 1954,302.5786,USHighPlain
August 1954,299.75385,USHighPlain
September 1954,296.82483,USHighPlain
October 1954,286.85464,USHighPlain
November 1954,281.50906,USHighPlain
December 1954,275.4935,USHighPlain
January 1955,271.92044,USHighPlain
February 1955,269.9949,USHighPlain
March 1955,277.33563,USHighPlain
April 1955,287.12833,USHighPlain
May 1955,291.97736,USHighPlain
June 1955,293.6772,USHighPlain
July 1955,300.93982,USHighPlain
August 1955,300.2304,USHighPlain
September 1955,295.10367,USHighPlain
October 1955,287.43518,USHighPlain
November 1955,276.91605,USHighPlain
December 1955,271.9611,USHighPlain
January 1956,271.8672,USHighPlain
February 1956,271.3205,USHighPlain
March 1956,279.0584,USHighPlain
April 1956,283.2645,USHighPlain
May 1956,292.5672,USHighPlain
June 1956,299.1035,USHighPlain
July 1956,299.461,USHighPlain
August 1956,299.37393,USHighPlain
September 1956,295.64377,USHighPlain
October 1956,290.27783,USHighPlain
November 1956,278.02545,USHighPlain
December 1956,275.69482,USHighPlain
January 1957,269.8892,USHighPlain
February 1957,276.56964,USHighPlain
March 1957,277.33173,USHighPlain
April 1957,282.23492,USHighPlain
May 1957,288.42682,USHighPlain
June 1957,294.24844,USHighPlain
July 1957,300.0566,USHighPlain
August 1957,299.11667,USHighPlain
September 1957,291.66574,USHighPlain
October 1957,285.70395,USHighPlain
November 1957,277.34045,USHighPlain
December 1957,277.02478,USHighPlain
January 1958,273.1393,USHighPlain
February 1958,271.70987,USHighPlain
March 1958,272.23016,USHighPlain
April 1958,282.69626,USHighPlain
May 1958,291.5564,USHighPlain
June 1958,295.39297,USHighPlain
July 1958,296.90726,USHighPlain
August 1958,298.32587,USHighPlain
September 1958,294.05515,USHighPlain
October 1958,287.79172,USHighPlain
November 1958,280.05942,USHighPlain
December 1958,273.00366,USHighPlain
January 1959,269.84198,USHighPlain
February 1959,271.99738,USHighPlain
March 1959,278.26825,USHighPlain
April 1959,283.9621,USHighPlain
May 1959,290.81543,USHighPlain
June 1959,296.95523,USHighPlain
July 1959,297.28976,USHighPlain
August 1959,299.77603,USHighPlain
September 1959,293.4461,USHighPlain
October 1959,284.3693,USHighPlain
November 1959,275.8255,USHighPlain
December 1959,276.0927,USHighPlain
January 1960,269.4997,USHighPlain
February 1960,268.67435,USHighPlain
March 1960,272.48294,USHighPlain
April 1960,285.92557,USHighPlain
May 1960,290.02466,USHighPlain
June 1960,295.24774,USHighPlain
July 1960,297.76743,USHighPlain
August 1960,298.4175,USHighPlain
September 1960,294.3864,USHighPlain
October 1960,287.73468,USHighPlain
November 1960,279.83136,USHighPlain
December 1960,271.9583,USHighPlain
January 1961,272.11865,USHighPlain
February 1961,275.16473,USHighPlain
March 1961,278.79352,USHighPlain
April 1961,282.86688,USHighPlain
May 1961,289.44556,USHighPlain
June 1961,295.3262,USHighPlain
July 1961,298.14285,USHighPlain
August 1961,297.62756,USHighPlain
September 1961,291.20615,USHighPlain
October 1961,287.00363,USHighPlain
November 1961,277.04858,USHighPlain
December 1961,271.09283,USHighPlain
January 1962,269.21024,USHighPlain
February 1962,274.54346,USHighPlain
March 1962,275.51642,USHighPlain
April 1962,284.99838,USHighPlain
May 1962,294.3572,USHighPlain
June 1962,294.50964,USHighPlain
July 1962,297.90482,USHighPlain
August 1962,298.53226,USHighPlain
September 1962,292.10394,USHighPlain
October 1962,288.16037,USHighPlain
November 1962,280.37173,USHighPlain
December 1962,274.4759,USHighPlain
January 1963,266.60522,USHighPlain
February 1963,274.97446,USHighPlain
March 1963,280.0993,USHighPlain
April 1963,287.45584,USHighPlain
May 1963,291.82486,USHighPlain
June 1963,297.277,USHighPlain
July 1963,300.61893,USHighPlain
August 1963,298.81897,USHighPlain
September 1963,294.47562,USHighPlain
October 1963,291.98642,USHighPlain
November 1963,281.1964,USHighPlain
December 1963,270.5426,USHighPlain
January 1964,274.17484,USHighPlain
February 1964,272.59564,USHighPlain
March 1964,276.25195,USHighPlain
April 1964,285.359,USHighPlain
May 1964,292.6661,USHighPlain
June 1964,295.7729,USHighPlain
July 1964,301.17743,USHighPlain
August 1964,297.33,USHighPlain
September 1964,292.9497,USHighPlain
October 1964,287.0926,USHighPlain
November 1964,280.0898,USHighPlain
December 1964,272.2,USHighPlain
January 1965,273.71085,USHighPlain
February 1965,271.37396,USHighPlain
March 1965,272.94946,USHighPlain
April 1965,286.4474,USHighPlain
May 1965,291.79617,USHighPlain
June 1965,294.93018,USHighPlain
July 1965,298.80228,USHighPlain
August 1965,297.2535,USHighPlain
September 1965,290.50198,USHighPlain
October 1965,287.32538,USHighPlain
November 1965,281.66818,USHighPlain
