EVI,time,hotspot
0.12183309027264612,January 2005,USHighPlain
0.1543041990421161,February 2005,USHighPlain
0.18976480254503658,March 2005,USHighPlain
0.2551495568585804,April 2005,USHighPlain
0.28658926500875176,May 2005,USHighPlain
0.31888759457908916,June 2005,USHighPlain
0.34969330969721285,July 2005,USHighPlain
0.3388700757635042,August 2005,USHighPlain
0.2574108741286309,September 2005,USHighPlain
0.18895924772326553,October 2005,USHighPlain
0.17615488578431615,November 2005,USHighPlain
0.14417910056805552,December 2005,USHighPlain
0.1893181593585232,January 2005,Greece
0.17614151600355638,February 2005,Greece
0.2419339738341822,March 2005,Greece
0.3103930394547289,April 2005,Greece
0.38782265092690205,May 2005,Greece
0.38337685640807556,June 2005,Greece
0.3652237964166068,July 2005,Greece
0.34806831161929763,August 2005,Greece
0.30536270005270405,September 2005,Greece
0.27445640181286335,October 2005,Greece
0.23448562366523654,November 2005,Greece
0.1957135320851722,December 2005,Greece
0.11575540193967224,January 2005,Sudan
0.1113074906008447,February 2005,Sudan
0.10415549063889047,March 2005,Sudan
0.10011711359291171,April 2005,Sudan
0.09485715317074105,May 2005,Sudan
0.093406058714852,June 2005,Sudan
0.11520319588507286,July 2005,Sudan
0.19937609758197244,August 2005,Sudan
0.23368478288280817,September 2005,Sudan
0.1825552866643775,October 2005,Sudan
0.1506712392297071,November 2005,Sudan
0.13025612665603428,December 2005,Sudan
0.2460192122323579,January 2005,Indus
0.311823507944941,February 2005,Indus
0.26953427189412466,March 2005,Indus
0.1704099391188343,April 2005,Indus
0.1457958250600771,May 2005,Indus
0.1529768455158984,June 2005,Indus
0.23745118248762204,July 2005,Indus
0.2932984186793366,August 2005,Indus
0.28997629010574816,September 2005,Indus
0.21506003756151343,October 2005,Indus
0.1600443703425754,November 2005,Indus
0.16026388718908358,December 2005,Indus
0.2741781453356148,January 2005,Ganges
0.28166080529879206,February 2005,Ganges
0.22873045981984866,March 2005,Ganges
0.19692722374213684,April 2005,Ganges
0.19814684406885025,May 2005,Ganges
0.2094508965969853,June 2005,Ganges
0.2799379434817579,July 2005,Ganges
0.36439036058013013,August 2005,Ganges
0.3844662241046649,September 2005,Ganges
0.32313212072931025,October 2005,Ganges
0.2587772316111033,November 2005,Ganges
0.2393703266933329,December 2005,Ganges
0.07720020616401158,January 2005,Turkey
0.091967975528872,February 2005,Turkey
0.14261747653134393,March 2005,Turkey
0.21225452134023345,April 2005,Turkey
0.2486958872692504,May 2005,Turkey
0.2329517363840594,June 2005,Turkey
0.19991712489942765,July 2005,Turkey
0.18076713489354201,August 2005,Turkey
0.1631810818622377,September 2005,Turkey
0.14672029869920997,October 2005,Turkey
0.1298771251927678,November 2005,Turkey
0.11032438524617429,December 2005,Turkey
0.21840493279238582,January 2005,Italy
0.2042443682075139,February 2005,Italy
0.2598197147025038,March 2005,Italy
0.33626979075256974,April 2005,Italy
0.42897459274009403,May 2005,Italy
0.4071452673376087,June 2005,Italy
0.37327979164761205,July 2005,Italy
0.3414753715135805,August 2005,Italy
0.33091596766933995,September 2005,Italy
0.29847295495127063,October 2005,Italy
0.26020060872568346,November 2005,Italy
0.2239275467696591,December 2005,Italy
0.23698548485873916,January 2005,California
0.3152912638632805,February 2005,California
0.33414007273560825,March 2005,California
0.30255947139655676,April 2005,California
0.2663934958739933,May 2005,California
0.2554232566598112,June 2005,California
0.2602213545505187,July 2005,California
0.2486689513259624,August 2005,California
0.22617990499027774,September 2005,California
0.20168160883227765,October 2005,California
0.18523015386865374,November 2005,California
0.17722114834422648,December 2005,California
0.18711581600261132,January 2005,Mexico
0.19131711851409858,February 2005,Mexico
0.21139437902281927,March 2005,Mexico
0.2024071104324097,April 2005,Mexico
0.2086269329582127,May 2005,Mexico
0.21354012698960706,June 2005,Mexico
0.3131588832800604,July 2005,Mexico
0.40241186274601465,August 2005,Mexico
0.3726099499297652,September 2005,Mexico
0.30543182326521673,October 2005,Mexico
0.24912050556252646,November 2005,Mexico
0.20943324525648735,December 2005,Mexico
0.3074884439615543,January 2005,Chile
0.2862043173792956,February 2005,Chile
0.2599830159821303,March 2005,Chile
0.24278152517050844,April 2005,Chile
0.22495541311013637,May 2005,Chile
0.22281534239278583,June 2005,Chile
0.24783628144050002,July 2005,Chile
0.26847918089001377,August 2005,Chile
0.28516180353031145,September 2005,Chile
0.31187235158753895,October 2005,Chile
0.323504734040899,November 2005,Chile
0.3256395359059234,December 2005,Chile
0.034597562357070864,January 2005,Iran
0.053043142625835815,February 2005,Iran
0.11077866113410817,March 2005,Iran
0.14036398091518848,April 2005,Iran
0.15596040296560817,May 2005,Iran
0.1381568864091769,June 2005,Iran
0.12085448112237594,July 2005,Iran
0.11367793446883347,August 2005,Iran
0.10475806711798695,September 2005,Iran
0.09581744358731258,October 2005,Iran
0.08583950249046983,November 2005,Iran
0.07758651133550605,December 2005,Iran
0.31466981072176203,January 2005,Vietnam
