time,discharge,hotspot
January 1980,1.7255297,USHighPlain
February 1980,1.9446564,USHighPlain
March 1980,2.885294,USHighPlain
April 1980,13.25668,USHighPlain
May 1980,8.793098,USHighPlain
June 1980,-1.6646919,USHighPlain
July 1980,-14.631152,USHighPlain
August 1980,-5.589102,USHighPlain
September 1980,-7.7091,USHighPlain
October 1980,-7.4159613,USHighPlain
November 1980,-5.1574965,USHighPlain
December 1980,-4.18347,USHighPlain
January 1981,-6.748521,USHighPlain
February 1981,-7.713829,USHighPlain
March 1981,-8.446346,USHighPlain
April 1981,-16.241638,USHighPlain
May 1981,-12.497702,USHighPlain
June 1981,-15.762468,USHighPlain
July 1981,-6.0035286,USHighPlain
August 1981,0.56357,USHighPlain
September 1981,-6.242834,USHighPlain
October 1981,-5.26688,USHighPlain
November 1981,-2.5734978,USHighPlain
December 1981,-0.63349247,USHighPlain
January 1982,-3.688592,USHighPlain
February 1982,0.945961,USHighPlain
March 1982,-1.6696911,USHighPlain
April 1982,-9.308237,USHighPlain
May 1982,2.0777016,USHighPlain
June 1982,10.695152,USHighPlain
July 1982,10.075436,USHighPlain
August 1982,3.6197777,USHighPlain
September 1982,3.2605705,USHighPlain
October 1982,10.844074,USHighPlain
November 1982,4.734852,USHighPlain
December 1982,6.1226482,USHighPlain
January 1983,6.5531607,USHighPlain
February 1983,7.904766,USHighPlain
March 1983,14.111061,USHighPlain
April 1983,26.694656,USHighPlain
May 1983,20.297401,USHighPlain
June 1983,21.087631,USHighPlain
July 1983,8.325443,USHighPlain
August 1983,-2.6876507,USHighPlain
September 1983,-3.5289345,USHighPlain
October 1983,-0.70585823,USHighPlain
November 1983,2.3174152,USHighPlain
December 1983,1.695282,USHighPlain
January 1984,7.526202,USHighPlain
February 1984,7.58786,USHighPlain
March 1984,10.841633,USHighPlain
April 1984,47.015903,USHighPlain
May 1984,37.102642,USHighPlain
June 1984,33.76067,USHighPlain
July 1984,12.374828,USHighPlain
August 1984,3.6650238,USHighPlain
September 1984,-1.7366676,USHighPlain
October 1984,14.310413,USHighPlain
November 1984,5.02573,USHighPlain
December 1984,6.438135,USHighPlain
January 1985,6.297284,USHighPlain
February 1985,6.1297035,USHighPlain
March 1985,2.3379917,USHighPlain
April 1985,-0.7544689,USHighPlain
May 1985,1.2242584,USHighPlain
June 1985,-8.832878,USHighPlain
July 1985,-8.800762,USHighPlain
August 1985,0.9713402,USHighPlain
September 1985,1.7981167,USHighPlain
October 1985,6.1267757,USHighPlain
November 1985,0.99355125,USHighPlain
December 1985,2.0969868,USHighPlain
January 1986,2.8259954,USHighPlain
February 1986,1.1468163,USHighPlain
March 1986,1.659872,USHighPlain
April 1986,11.592907,USHighPlain
May 1986,8.936779,USHighPlain
June 1986,7.2903214,USHighPlain
July 1986,5.1029625,USHighPlain
August 1986,2.4333,USHighPlain
September 1986,10.955877,USHighPlain
October 1986,16.701668,USHighPlain
November 1986,10.732828,USHighPlain
December 1986,10.239597,USHighPlain
January 1987,7.8447714,USHighPlain
February 1987,4.4963856,USHighPlain
March 1987,23.538883,USHighPlain
April 1987,28.375809,USHighPlain
May 1987,15.278622,USHighPlain
June 1987,3.9927597,USHighPlain
July 1987,7.700966,USHighPlain
August 1987,2.272255,USHighPlain
September 1987,2.8313007,USHighPlain
October 1987,-6.3034163,USHighPlain
November 1987,-3.6068954,USHighPlain
December 1987,-1.2086067,USHighPlain
January 1988,0.8634958,USHighPlain
February 1988,1.484129,USHighPlain
March 1988,-2.395626,USHighPlain
April 1988,-5.5499706,USHighPlain
May 1988,-10.560524,USHighPlain
June 1988,-21.423763,USHighPlain
July 1988,-9.318729,USHighPlain
August 1988,-12.685254,USHighPlain
September 1988,-8.639829,USHighPlain
October 1988,-13.72603,USHighPlain
November 1988,-12.092802,USHighPlain
December 1988,-10.480904,USHighPlain
January 1989,-8.774305,USHighPlain
February 1989,-9.001398,USHighPlain
March 1989,-8.559755,USHighPlain
April 1989,-16.968231,USHighPlain
May 1989,-15.209738,USHighPlain
June 1989,-12.346712,USHighPlain
July 1989,-8.280413,USHighPlain
August 1989,-6.526985,USHighPlain
September 1989,3.1401215,USHighPlain
October 1989,-8.482463,USHighPlain
November 1989,-9.920005,USHighPlain
December 1989,-7.846036,USHighPlain
January 1990,-5.599086,USHighPlain
February 1990,-4.905651,USHighPlain
March 1990,0.37892914,USHighPlain
April 1990,-9.200794,USHighPlain
May 1990,-1.2787094,USHighPlain
June 1990,-4.5294456,USHighPlain
July 1990,-6.9497147,USHighPlain
August 1990,-2.7401428,USHighPlain
September 1990,-9.162598,USHighPlain
October 1990,-7.0736656,USHighPlain
November 1990,-5.5995893,USHighPlain
December 1990,-8.271525,USHighPlain
January 1991,-7.2389774,USHighPlain
February 1991,-8.392351,USHighPlain
March 1991,-9.801543,USHighPlain
April 1991,-14.642977,USHighPlain
May 1991,-5.67733,USHighPlain
June 1991,-0.57302856,USHighPlain
July 1991,-8.6513,USHighPlain
August 1991,-5.9107876,USHighPlain
September 1991,-5.7578926,USHighPlain
October 1991,-10.882964,USHighPlain
November 1991,5.556143,USHighPlain
December 1991,4.8430977,USHighPlain
January 1992,6.8183603,USHighPlain
February 1992,6.350683,USHighPlain
March 1992,7.487705,USHighPlain
April 1992,-7.365982,USHighPlain
May 1992,-18.288183,USHighPlain
June 1992,-6.7875786,USHighPlain
July 1992,9.134567,USHighPlain
August 1992,7.2140675,USHighPlain
September 1992,3.6078434,USHighPlain
October 1992,1.1187038,USHighPlain
November 1992,1.2944832,USHighPlain
December 1992,3.7346306,USHighPlain
January 1993,3.654523,USHighPlain
February 1993,6.768938,USHighPlain
March 1993,17.468288,USHighPlain
April 1993,18.413704,USHighPlain
May 1993,15.2127,USHighPlain
June 1993,16.19183,USHighPlain
July 1993,38.625286,USHighPlain
August 1993,28.241917,USHighPlain
September 1993,23.436562,USHighPlain
October 1993,12.541416,USHighPlain
November 1993,10.416822,USHighPlain
December 1993,9.534311,USHighPlain
January 1994,5.8903685,USHighPlain
February 1994,4.8418865,USHighPlain
March 1994,2.9491043,USHighPlain
April 1994,1.3652802,USHighPlain
May 1994,-5.185169,USHighPlain
June 1994,-9.269989,USHighPlain
July 1994,2.403801,USHighPlain
August 1994,-5.38006,USHighPlain
September 1994,-5.4791803,USHighPlain
October 1994,-3.848814,USHighPlain
November 1994,-2.186407,USHighPlain
December 1994,-0.54086494,USHighPlain
January 1995,1.7365122,USHighPlain
February 1995,-1.5699167,USHighPlain
March 1995,1.250082,USHighPlain
April 1995,9.519524,USHighPlain
May 1995,28.007305,USHighPlain
June 1995,36.895657,USHighPlain
July 1995,19.59613,USHighPlain
August 1995,9.932495,USHighPlain
September 1995,7.1422005,USHighPlain
October 1995,13.048061,USHighPlain
November 1995,7.7154636,USHighPlain
December 1995,3.3878498,USHighPlain
January 1996,4.0059175,USHighPlain
February 1996,1.217886,USHighPlain
March 1996,-5.6959,USHighPlain
April 1996,-9.893114,USHighPlain
May 1996,-4.7601547,USHighPlain
June 1996,3.4965248,USHighPlain
July 1996,1.4681835,USHighPlain
August 1996,5.637844,USHighPlain
September 1996,10.950407,USHighPlain
October 1996,2.0911179,USHighPlain
November 1996,6.891878,USHighPlain
December 1996,4.0824966,USHighPlain
January 1997,4.3173075,USHighPlain
February 1997,6.4479427,USHighPlain
March 1997,-0.11338997,USHighPlain
April 1997,15.011677,USHighPlain
May 1997,8.766224,USHighPlain
June 1997,11.716381,USHighPlain
July 1997,4.534565,USHighPlain
August 1997,13.802662,USHighPlain
September 1997,7.5010242,USHighPlain
October 1997,10.05971,USHighPlain
November 1997,19.560413,USHighPlain
December 1997,13.279543,USHighPlain
January 1998,13.037612,USHighPlain
February 1998,10.047594,USHighPlain
March 1998,11.402283,USHighPlain
April 1998,13.387714,USHighPlain
May 1998,0.84155273,USHighPlain
June 1998,-1.0577202,USHighPlain
July 1998,4.5804634,USHighPlain
August 1998,8.147919,USHighPlain
September 1998,-3.8067741,USHighPlain
October 1998,7.192377,USHighPlain
November 1998,17.595463,USHighPlain
December 1998,8.3868065,USHighPlain
January 1999,6.158942,USHighPlain
February 1999,4.868355,USHighPlain
March 1999,2.184166,USHighPlain
April 1999,6.954815,USHighPlain
May 1999,10.165562,USHighPlain
June 1999,14.289524,USHighPlain
July 1999,9.682934,USHighPlain
August 1999,7.654598,USHighPlain
September 1999,5.358118,USHighPlain
October 1999,-4.1884212,USHighPlain
November 1999,-6.8451405,USHighPlain
December 1999,-5.5013323,USHighPlain
January 2000,-8.371538,USHighPlain
February 2000,-5.3992558,USHighPlain
March 2000,-1.4435043,USHighPlain
April 2000,-11.555628,USHighPlain
May 2000,-11.921682,USHighPlain
June 2000,-17.21491,USHighPlain
July 2000,-7.973097,USHighPlain
August 2000,-12.813795,USHighPlain
September 2000,-11.8939495,USHighPlain
October 2000,-9.0010805,USHighPlain
November 2000,-0.68374825,USHighPlain
December 2000,-3.621399,USHighPlain
January 2001,-0.14931583,USHighPlain
February 2001,3.5722141,USHighPlain
March 2001,6.807373,USHighPlain
April 2001,17.195732,USHighPlain
May 2001,18.564636,USHighPlain
June 2001,2.5458527,USHighPlain
July 2001,-0.4268551,USHighPlain
August 2001,-2.7409859,USHighPlain
September 2001,2.532215,USHighPlain
October 2001,-5.400977,USHighPlain
November 2001,-7.9981813,USHighPlain
December 2001,-4.6579514,USHighPlain
January 2002,-6.3748875,USHighPlain
February 2002,-5.5647697,USHighPlain
March 2002,-10.611872,USHighPlain
April 2002,-15.988373,USHighPlain
May 2002,-20.025293,USHighPlain
June 2002,-25.951756,USHighPlain
July 2002,-20.337234,USHighPlain
August 2002,-8.47707,USHighPlain
September 2002,-8.838651,USHighPlain
October 2002,-1.9989033,USHighPlain
November 2002,-1.1935501,USHighPlain
December 2002,-4.6491594,USHighPlain
January 2003,-6.4102707,USHighPlain
February 2003,-5.404477,USHighPlain
March 2003,-6.222723,USHighPlain
April 2003,-5.808939,USHighPlain
May 2003,-6.9068336,USHighPlain
June 2003,-6.5032425,USHighPlain
July 2003,-9.727489,USHighPlain
August 2003,-14.52091,USHighPlain
September 2003,-2.8894062,USHighPlain
October 2003,-12.014801,USHighPlain
November 2003,-10.974243,USHighPlain
December 2003,-7.8664656,USHighPlain
January 2004,-8.610823,USHighPlain
February 2004,-7.309392,USHighPlain
March 2004,0.21023369,USHighPlain
April 2004,-12.325979,USHighPlain
May 2004,-16.181673,USHighPlain
June 2004,-12.572922,USHighPlain
July 2004,-0.96116066,USHighPlain
August 2004,-7.5211735,USHighPlain
September 2004,-1.5401325,USHighPlain
October 2004,-4.079939,USHighPlain
November 2004,-1.3970146,USHighPlain
December 2004,-1.3392477,USHighPlain
January 2005,0.7279644,USHighPlain
February 2005,1.1090164,USHighPlain
March 2005,-5.6611156,USHighPlain
April 2005,-9.209131,USHighPlain
May 2005,-14.3894615,USHighPlain
June 2005,2.9758797,USHighPlain
July 2005,-7.415352,USHighPlain
August 2005,-3.197939,USHighPlain
September 2005,-4.45512,USHighPlain
October 2005,-3.8882122,USHighPlain
November 2005,-7.1916847,USHighPlain
December 2005,-2.3803682,USHighPlain
January 2006,-4.497471,USHighPlain
February 2006,-7.476181,USHighPlain
March 2006,-4.6269665,USHighPlain
April 2006,-6.876648,USHighPlain
May 2006,-19.014088,USHighPlain
June 2006,-21.656036,USHighPlain
July 2006,-17.52672,USHighPlain
August 2006,-6.1897106,USHighPlain
September 2006,-0.27836037,USHighPlain
October 2006,-7.2961197,USHighPlain
November 2006,-8.691743,USHighPlain
December 2006,-5.117873,USHighPlain
January 2007,1.608304,USHighPlain
February 2007,4.176029,USHighPlain
March 2007,4.804714,USHighPlain
April 2007,11.518215,USHighPlain
May 2007,15.323563,USHighPlain
June 2007,7.050335,USHighPlain
July 2007,0.4268322,USHighPlain
August 2007,7.6935577,USHighPlain
September 2007,0.5436516,USHighPlain
October 2007,4.41185,USHighPlain
November 2007,-4.3868876,USHighPlain
December 2007,-2.3343887,USHighPlain
January 2008,-0.3318529,USHighPlain
February 2008,-1.3090839,USHighPlain
March 2008,-4.1280003,USHighPlain
April 2008,-2.6653671,USHighPlain
May 2008,-4.3562202,USHighPlain
June 2008,6.0236206,USHighPlain
July 2008,-1.786417,USHighPlain
August 2008,0.54221344,USHighPlain
September 2008,3.15341,USHighPlain
October 2008,11.911316,USHighPlain
November 2008,6.36384,USHighPlain
December 2008,1.9127388,USHighPlain
January 2009,-1.3854303,USHighPlain
February 2009,-0.50338745,USHighPlain
March 2009,-6.485012,USHighPlain
April 2009,3.2001534,USHighPlain
May 2009,-3.1681862,USHighPlain
June 2009,4.044491,USHighPlain
July 2009,2.334362,USHighPlain
August 2009,4.9550514,USHighPlain
September 2009,1.8151855,USHighPlain
October 2009,11.93475,USHighPlain
November 2009,17.74995,USHighPlain
December 2009,7.083132,USHighPlain
January 2010,5.821105,USHighPlain
February 2010,4.3525333,USHighPlain
March 2010,17.333408,USHighPlain
April 2010,7.873314,USHighPlain
May 2010,4.959339,USHighPlain
June 2010,19.068066,USHighPlain
July 2010,17.306301,USHighPlain
August 2010,6.545397,USHighPlain
September 2010,5.3674774,USHighPlain
October 2010,-3.2452297,USHighPlain
November 2010,-2.1776123,USHighPlain
December 2010,-4.355611,USHighPlain
January 2011,-3.374896,USHighPlain
February 2011,1.6805286,USHighPlain
March 2011,-2.5529213,USHighPlain
April 2011,-3.4782104,USHighPlain
May 2011,0.36808395,USHighPlain
June 2011,8.567635,USHighPlain
July 2011,10.2562065,USHighPlain
August 2011,3.1011562,USHighPlain
September 2011,-1.2143059,USHighPlain
October 2011,-1.4817772,USHighPlain
November 2011,0.25603867,USHighPlain
December 2011,0.10405159,USHighPlain
January 2012,-2.4362946,USHighPlain
February 2012,-0.09712982,USHighPlain
March 2012,-5.8564644,USHighPlain
April 2012,-13.786974,USHighPlain
May 2012,-21.747717,USHighPlain
June 2012,-27.489706,USHighPlain
July 2012,-21.935871,USHighPlain
August 2012,-17.2946,USHighPlain
September 2012,-15.689297,USHighPlain
October 2012,-16.33551,USHighPlain
November 2012,-14.653608,USHighPlain
December 2012,-12.918938,USHighPlain
January 2013,-9.965212,USHighPlain
February 2013,-10.967426,USHighPlain
March 2013,-11.032666,USHighPlain
April 2013,-11.2610035,USHighPlain
May 2013,-9.350142,USHighPlain
June 2013,-13.736551,USHighPlain
July 2013,-13.763039,USHighPlain
August 2013,-3.7055702,USHighPlain
September 2013,-3.8826828,USHighPlain
October 2013,4.636261,USHighPlain
November 2013,0.46969414,USHighPlain
December 2013,-2.1973038,USHighPlain
January 2014,-3.3024645,USHighPlain
February 2014,-3.1538858,USHighPlain
March 2014,-6.9981537,USHighPlain
April 2014,-16.523338,USHighPlain
May 2014,-15.026014,USHighPlain
June 2014,2.710987,USHighPlain
July 2014,-3.5722656,USHighPlain
August 2014,-2.2747421,USHighPlain
September 2014,3.0610638,USHighPlain
October 2014,-2.767805,USHighPlain
November 2014,-6.025442,USHighPlain
December 2014,-3.7976084,USHighPlain
January 2015,-3.1579256,USHighPlain
February 2015,-4.211128,USHighPlain
March 2015,-11.694694,USHighPlain
April 2015,-16.759098,USHighPlain
May 2015,3.9987679,USHighPlain
June 2015,7.19965,USHighPlain
July 2015,7.352623,USHighPlain
August 2015,-1.3125172,USHighPlain
September 2015,-4.131879,USHighPlain
October 2015,-7.2680635,USHighPlain
November 2015,0.4057865,USHighPlain
December 2015,6.5132656,USHighPlain
January 2016,3.1802626,USHighPlain
February 2016,4.700615,USHighPlain
March 2016,-3.2249317,USHighPlain
April 2016,0.9068451,USHighPlain
May 2016,11.371166,USHighPlain
June 2016,-4.0213737,USHighPlain
July 2016,0.70253944,USHighPlain
August 2016,-4.902725,USHighPlain
September 2016,1.5481453,USHighPlain
October 2016,-7.307461,USHighPlain
November 2016,-6.638997,USHighPlain
December 2016,-4.290269,USHighPlain
January 2017,-1.9082127,USHighPlain
February 2017,-4.4141436,USHighPlain
March 2017,-8.589596,USHighPlain
April 2017,-9.100643,USHighPlain
May 2017,0.36460114,USHighPlain
June 2017,-15.28278,USHighPlain
July 2017,-12.946316,USHighPlain
August 2017,0.6015301,USHighPlain
