time,Population,hotspot
December 2000,540846.0733450865,Australia
January 2001,540855.0940330259,Australia
February 2001,540879.3519832708,Australia
March 2001,540903.0365652022,Australia
April 2001,540900.0233647854,Australia
May 2001,540915.3427381295,Australia
June 2001,540950.617911118,Australia
July 2001,540957.2320600402,Australia
August 2001,540959.797984535,Australia
September 2001,540986.4803056902,Australia
October 2001,540991.0119675696,Australia
November 2001,541006.8170115387,Australia
December 2001,541029.725097234,Australia
January 2002,541018.9147519589,Australia
February 2002,541033.2358984028,Australia
March 2002,541056.814097841,Australia
April 2002,541064.2839782138,Australia
May 2002,541090.4192557887,Australia
June 2002,541089.6135641963,Australia
July 2002,541096.1103951059,Australia
August 2002,541139.273181817,Australia
September 2002,541133.4365521126,Australia
October 2002,541148.486223452,Australia
November 2002,541144.7851513684,Australia
December 2002,541166.1301318654,Australia
January 2003,541160.8249162198,Australia
February 2003,541134.9605034165,Australia
March 2003,541140.1929927845,Australia
April 2003,541117.390972332,Australia
May 2003,541108.7694016054,Australia
June 2003,541093.1126606369,Australia
July 2003,541107.4932822768,Australia
August 2003,541075.1534250167,Australia
September 2003,541051.6235301082,Australia
October 2003,541059.8518074156,Australia
November 2003,541025.6073273133,Australia
December 2003,541029.0041766893,Australia
January 2004,541005.9980055959,Australia
February 2004,541013.0176392562,Australia
March 2004,541029.6033414498,Australia
April 2004,541035.6591665122,Australia
May 2004,541029.8178831467,Australia
June 2004,541026.9880362431,Australia
July 2004,541025.2392750016,Australia
August 2004,541012.8612642998,Australia
September 2004,541021.2448512253,Australia
October 2004,541024.2643810682,Australia
November 2004,541040.7879464115,Australia
December 2004,541033.3766919171,Australia
January 2005,540993.2119226042,Australia
February 2005,540998.0189020043,Australia
March 2005,540974.5407722997,Australia
April 2005,540953.8370909918,Australia
May 2005,540950.6480399604,Australia
June 2005,540937.5704673287,Australia
July 2005,540919.4938837739,Australia
August 2005,540882.9339124901,Australia
September 2005,540871.0432300054,Australia
October 2005,540860.9040806065,Australia
November 2005,540850.2388350946,Australia
December 2005,540817.6319994902,Australia
January 2006,540807.7916769474,Australia
February 2006,540784.9310551259,Australia
March 2006,540772.2363937361,Australia
April 2006,540780.7890887053,Australia
May 2006,540774.0507196637,Australia
June 2006,540745.7471601423,Australia
July 2006,540744.7118220406,Australia
August 2006,540724.8406696358,Australia
September 2006,540701.0569769887,Australia
October 2006,540699.2814253686,Australia
November 2006,540698.9112425845,Australia
December 2006,540669.4651793132,Australia
January 2007,540669.099191892,Australia
February 2007,540606.699659229,Australia
March 2007,540627.7737289977,Australia
April 2007,540602.3650377137,Australia
May 2007,540581.2621270223,Australia
June 2007,540567.923985221,Australia
July 2007,540528.6633496622,Australia
August 2007,540530.0927581085,Australia
September 2007,540518.7493500866,Australia
October 2007,540513.8048939545,Australia
November 2007,540474.8706412785,Australia
December 2007,540454.7953683131,Australia
January 2008,540456.0720955698,Australia
February 2008,540469.2563658123,Australia
March 2008,540461.0827522653,Australia
April 2008,540449.8640213882,Australia
May 2008,540459.1012377945,Australia
June 2008,540452.6257113767,Australia
July 2008,540460.0242857678,Australia
August 2008,540440.0961240213,Australia
September 2008,540442.0983386118,Australia
October 2008,540439.4596349935,Australia
November 2008,540425.9579335666,Australia
December 2008,540442.8796438283,Australia
January 2009,540444.384522587,Australia
February 2009,540443.5208435436,Australia
March 2009,540442.6493040086,Australia
April 2009,540431.8681454515,Australia
May 2009,540444.3552393304,Australia
June 2009,540447.0718211613,Australia
July 2009,540443.9639524639,Australia
August 2009,540452.7184788467,Australia
September 2009,540460.6617239813,Australia
October 2009,540478.3755225871,Australia
November 2009,540461.9021029946,Australia
December 2009,540464.612075864,Australia
January 2010,540461.4322718093,Australia
February 2010,540442.0351082907,Australia
March 2010,540462.6701336765,Australia
April 2010,540463.9806643893,Australia
May 2010,540490.1172702133,Australia
June 2010,540462.0204233538,Australia
July 2010,540467.6848836304,Australia
August 2010,540464.4593676637,Australia
September 2010,540452.679692018,Australia
October 2010,540477.8349851737,Australia
November 2010,540474.0236408497,Australia
December 2010,540474.8109828248,Australia
January 2011,540463.9453453562,Australia
February 2011,540496.1085698744,Australia
March 2011,540472.6887388619,Australia
April 2011,540501.3832156272,Australia
May 2011,540525.7102950203,Australia
June 2011,540498.9678362041,Australia
July 2011,540510.6481276858,Australia
August 2011,540525.1580855467,Australia
September 2011,540526.0591900294,Australia
October 2011,540521.9607385807,Australia
November 2011,540546.6931023437,Australia
December 2011,540541.697325647,Australia
January 2012,540557.6566581412,Australia
February 2012,540542.2079887493,Australia
March 2012,540568.2101957474,Australia
April 2012,540542.679664762,Australia
May 2012,540547.1309521105,Australia
June 2012,540558.7975074509,Australia
July 2012,540536.3804459034,Australia
August 2012,540551.5079413542,Australia
September 2012,540562.5751005762,Australia
October 2012,540530.8260304419,Australia
November 2012,540549.5329312542,Australia
December 2012,540549.8455861991,Australia
January 2013,540557.258485848,Australia
February 2013,540537.4262113901,Australia
March 2013,540538.1709180893,Australia
April 2013,540559.743662443,Australia
May 2013,540559.0886843265,Australia
June 2013,540560.4060422631,Australia
July 2013,540563.1923453517,Australia
August 2013,540554.0009409934,Australia
September 2013,540565.5996079067,Australia
October 2013,540568.0091261821,Australia
November 2013,540559.0219929359,Australia
December 2013,540588.4471340613,Australia
January 2014,540572.3346130328,Australia
February 2014,540553.2925054212,Australia
March 2014,540572.0365369973,Australia
April 2014,540553.3579659997,Australia
May 2014,540571.1022838817,Australia
June 2014,540573.9000292596,Australia
July 2014,540551.5275085594,Australia
August 2014,540569.4726128943,Australia
September 2014,540562.3822139502,Australia
October 2014,540565.6232269205,Australia
November 2014,540575.9619250505,Australia
December 2014,540551.8425226959,Australia
January 2015,540548.8863232032,Australia
February 2015,540549.9253510225,Australia
March 2015,540552.9692943488,Australia
April 2015,540563.385823697,Australia
May 2015,540570.2854912465,Australia
June 2015,540572.0892831391,Australia
July 2015,540580.4070043031,Australia
August 2015,540574.1712216458,Australia
September 2015,540592.1137098372,Australia
October 2015,540576.1033557411,Australia
November 2015,540610.6059760359,Australia
December 2015,540590.5602769188,Australia
January 2016,540584.6080295555,Australia
February 2016,540592.2647840759,Australia
March 2016,540618.2290631159,Australia
April 2016,540620.6077408659,Australia
May 2016,540640.2883663373,Australia
June 2016,540647.6552886689,Australia
July 2016,540651.4273807307,Australia
August 2016,540653.0765475336,Australia
September 2016,540655.8614471115,Australia
October 2016,540676.9454375353,Australia
November 2016,540700.8658734818,Australia
December 2016,540703.6059582449,Australia
January 2017,540691.5884147062,Australia
February 2017,540710.4409793875,Australia
March 2017,540716.0007285684,Australia
April 2017,540706.0276902808,Australia
May 2017,540720.67369274,Australia
June 2017,540723.2863026211,Australia
July 2017,540713.9250942724,Australia
August 2017,540733.6552428113,Australia
September 2017,540739.4689429476,Australia
October 2017,540748.588990396,Australia
November 2017,540751.9122121539,Australia
December 2017,540729.3580449657,Australia
January 2018,540733.5248506196,Australia
February 2018,540748.5546658112,Australia
March 2018,540748.0446429937,Australia
April 2018,540747.5083373588,Australia
May 2018,540782.7676687159,Australia
June 2018,540747.0252292722,Australia
July 2018,540752.5483863683,Australia
August 2018,540750.0515624309,Australia
September 2018,540746.2567029411,Australia
October 2018,540735.3586842138,Australia
November 2018,540746.3283732419,Australia
December 2018,540729.3701782714,Australia
January 2019,540737.1630495611,Australia
February 2019,540736.542834449,Australia
March 2019,540744.4727030421,Australia
