time,Population,hotspot
January 2000,540840.746863873,Australia
February 2000,540856.5334501506,Australia
March 2000,540871.301546991,Australia
April 2000,540887.0881332686,Australia
May 2000,540902.3654748277,Australia
June 2000,540918.1520611054,Australia
July 2000,540933.4294026644,Australia
August 2000,540949.2159889421,Australia
September 2000,540965.0025752197,Australia
October 2000,540980.2799167787,Australia
November 2000,540996.0665030563,Australia
December 2000,541011.3438446154,Australia
January 2001,541027.130430893,Australia
February 2001,541039.4316855267,Australia
March 2001,541050.5424961636,Australia
April 2001,541062.8437507973,Australia
May 2001,541074.7481907654,Australia
June 2001,541087.0494453991,Australia
July 2001,541098.9538853671,Australia
August 2001,541111.2551400008,Australia
September 2001,541123.5563946345,Australia
October 2001,541135.4608346026,Australia
November 2001,541147.7620892363,Australia
December 2001,541159.6665292043,Australia
January 2002,541171.967783838,Australia
February 2002,541159.6354451998,Australia
March 2002,541148.4965586879,Australia
April 2002,541136.1642200496,Australia
May 2002,541124.2296987867,Australia
June 2002,541111.8973601485,Australia
July 2002,541099.9628388857,Australia
August 2002,541087.6305002475,Australia
September 2002,541075.2981616092,Australia
October 2002,541063.3636403463,Australia
November 2002,541051.0313017081,Australia
December 2002,541039.0967804453,Australia
January 2003,541026.764441807,Australia
February 2003,541027.0130772828,Australia
March 2003,541027.237651261,Australia
April 2003,541027.4862867368,Australia
May 2003,541027.7269017134,Australia
June 2003,541027.9755371892,Australia
July 2003,541028.2161521657,Australia
August 2003,541028.4647876415,Australia
September 2003,541028.7134231173,Australia
October 2003,541028.9540380939,Australia
November 2003,541029.2026735697,Australia
December 2003,541029.4432885463,Australia
January 2004,541029.691924022,Australia
February 2004,541012.1657833816,Australia
March 2004,540995.7703614921,Australia
April 2004,540978.2442208516,Australia
May 2004,540961.2834395865,Australia
June 2004,540943.757298946,Australia
July 2004,540926.7965176811,Australia
August 2004,540909.2703770405,Australia
September 2004,540891.7442364,Australia
October 2004,540874.7834551351,Australia
November 2004,540857.2573144946,Australia
December 2004,540840.2965332295,Australia
January 2005,540822.770392589,Australia
February 2005,540809.7825786468,Australia
March 2005,540798.0516499248,Australia
April 2005,540785.0638359826,Australia
May 2005,540772.4949837804,Australia
June 2005,540759.5071698383,Australia
July 2005,540746.9383176361,Australia
August 2005,540733.9505036939,Australia
September 2005,540720.9626897516,Australia
October 2005,540708.3938375495,Australia
November 2005,540695.4060236074,Australia
December 2005,540682.8371714052,Australia
January 2006,540669.849357463,Australia
February 2006,540652.320839618,Australia
March 2006,540636.4886299516,Australia
April 2006,540618.9601121066,Australia
May 2006,540601.9970303212,Australia
June 2006,540584.4685124762,Australia
July 2006,540567.5054306907,Australia
August 2006,540549.9769128457,Australia
September 2006,540532.4483950008,Australia
October 2006,540515.4853132154,Australia
November 2006,540497.9567953704,Australia
December 2006,540480.993713585,Australia
January 2007,540463.46519574,Australia
February 2007,540461.447140072,Australia
March 2007,540459.6243801139,Australia
April 2007,540457.6063244459,Australia
May 2007,540455.6533673479,Australia
June 2007,540453.6353116799,Australia
July 2007,540451.6823545819,Australia
August 2007,540449.6642989139,Australia
September 2007,540447.646243246,Australia
October 2007,540445.693286148,Australia
November 2007,540443.67523048,Australia
December 2007,540441.722273382,Australia
January 2008,540439.704217714,Australia
February 2008,540441.5799746624,Australia
March 2008,540443.3347150335,Australia
April 2008,540445.2104719819,Australia
May 2008,540447.0257206417,Australia
June 2008,540448.9014775901,Australia
July 2008,540450.7167262499,Australia
August 2008,540452.5924831983,Australia
September 2008,540454.4682401466,Australia
October 2008,540456.2834888065,Australia
November 2008,540458.1592457548,Australia
December 2008,540459.9744944146,Australia
January 2009,540461.850251363,Australia
February 2009,540462.2305876402,Australia
March 2009,540462.5741171809,Australia
April 2009,540462.9544534581,Australia
May 2009,540463.3225208231,Australia
June 2009,540463.7028571003,Australia
July 2009,540464.0709244652,Australia
August 2009,540464.4512607424,Australia
September 2009,540464.8315970196,Australia
October 2009,540465.1996643846,Australia
November 2009,540465.5800006618,Australia
December 2009,540465.9480680268,Australia
January 2010,540466.328404304,Australia
February 2010,540473.6971012998,Australia
March 2010,540480.3526985863,Australia
April 2010,540487.7213955821,Australia
May 2010,540494.8523926749,Australia
June 2010,540502.2210896707,Australia
July 2010,540509.3520867634,Australia
August 2010,540516.7207837591,Australia
September 2010,540524.0894807549,Australia
October 2010,540531.2204778476,Australia
November 2010,540538.5891748435,Australia
December 2010,540545.7201719362,Australia
January 2011,540553.088868932,Australia
February 2011,540552.5767218721,Australia
March 2011,540552.1141374309,Australia
April 2011,540551.6019903711,Australia
May 2011,540551.1063641842,Australia
June 2011,540550.5942171243,Australia
July 2011,540550.0985909373,Australia
August 2011,540549.5864438774,Australia
September 2011,540549.0742968176,Australia
October 2011,540548.5786706306,Australia
November 2011,540548.0665235708,Australia
December 2011,540547.5708973838,Australia
January 2012,540547.058750324,Australia
February 2012,540548.8696987313,Australia
March 2012,540550.5638117577,Australia
April 2012,540552.3747601652,Australia
May 2012,540554.127290882,Australia
June 2012,540555.9382392896,Australia
July 2012,540557.6907700064,Australia
August 2012,540559.5017184139,Australia
September 2012,540561.3126668213,Australia
October 2012,540563.0651975382,Australia
November 2012,540564.8761459456,Australia
December 2012,540566.6286766626,Australia
January 2013,540568.43962507,Australia
February 2013,540567.2534971911,Australia
March 2013,540566.1821558813,Australia
April 2013,540564.9960280025,Australia
May 2013,540563.8481623133,Australia
June 2013,540562.6620344346,Australia
July 2013,540561.5141687455,Australia
August 2013,540560.3280408666,Australia
September 2013,540559.1419129878,Australia
October 2013,540557.9940472987,Australia
November 2013,540556.80791942,Australia
December 2013,540555.6600537308,Australia
January 2014,540554.473925852,Australia
February 2014,540556.9689628766,Australia
March 2014,540559.2225447053,Australia
April 2014,540561.7175817299,Australia
May 2014,540564.1321336891,Australia
June 2014,540566.6271707137,Australia
July 2014,540569.0417226731,Australia
August 2014,540571.5367596976,Australia
September 2014,540574.0317967222,Australia
October 2014,540576.4463486816,Australia
November 2014,540578.9413857062,Australia
December 2014,540581.3559376654,Australia
January 2015,540583.85097469,Australia
February 2015,540593.8269584407,Australia
March 2015,540602.837524409,Australia
April 2015,540612.8135081597,Australia
May 2015,540622.4676859829,Australia
June 2015,540632.4436697336,Australia
July 2015,540642.0978475568,Australia
August 2015,540652.0738313076,Australia
September 2015,540662.0498150582,Australia
October 2015,540671.7039928815,Australia
November 2015,540681.6799766321,Australia
December 2015,540691.3341544553,Australia
January 2016,540701.310138206,Australia
February 2016,540704.9370749085,Australia
March 2016,540708.3300156948,Australia
April 2016,540711.9569523975,Australia
May 2016,540715.4668911418,Australia
June 2016,540719.0938278445,Australia
July 2016,540722.6037665888,Australia
August 2016,540726.2307032915,Australia
September 2016,540729.857639994,Australia
October 2016,540733.3675787385,Australia
November 2016,540736.994515441,Australia
December 2016,540740.5044541855,Australia
January 2017,540744.131390888,Australia
February 2017,540743.5815551175,Australia
March 2017,540743.0849292602,Australia
April 2017,540742.5350934897,Australia
May 2017,540742.0029943569,Australia
June 2017,540741.4531585864,Australia
July 2017,540740.9210594536,Australia
August 2017,540740.3712236831,Australia
September 2017,540739.8213879126,Australia
October 2017,540739.2892887798,Australia
November 2017,540738.7394530093,Australia
December 2017,540738.2073538766,Australia
January 2018,540737.657518106,Australia
February 2018,540739.7025581541,Australia
March 2018,540741.5496911007,Australia
April 2018,540743.5947311488,Australia
May 2018,540745.573802163,Australia
June 2018,540747.6188422111,Australia
July 2018,540749.5979132253,Australia
August 2018,540751.6429532734,Australia
September 2018,540753.6879933215,Australia
October 2018,540755.6670643357,Australia
November 2018,540757.7121043837,Australia
December 2018,540759.691175398,Australia
January 2019,540761.736215446,Australia
January 2000,33781688.2125024,California
February 2000,33808077.6104559,California
March 2000,33832764.466605954,California
April 2000,33859153.86455946,California
May 2000,33884691.991611235,California
June 2000,33911081.389564745,California
July 2000,33936619.51661652,California
August 2000,33963008.914570026,California
September 2000,33989398.31252353,California
October 2000,34014936.43957531,California
November 2000,34041325.83752882,California
December 2000,34066863.964580595,California
January 2001,34093253.3625341,California
February 2001,34120153.06350796,California
March 2001,34144449.567613386,California
April 2001,34171349.26858725,California
May 2001,34197381.23727163,California
June 2001,34224280.9382455,California
July 2001,34250312.90692988,California
August 2001,34277212.60790374,California
September 2001,34304112.3088776,California
October 2001,34330144.277561985,California
November 2001,34357043.97853585,California
December 2001,34383075.947220236,California
January 2002,34409975.6481941,California
February 2002,34437372.51617947,California
March 2002,34462118.07435981,California
April 2002,34489514.94234518,California
May 2002,34516028.04039554,California
June 2002,34543424.90838092,California
July 2002,34569938.00643128,California
August 2002,34597334.87441666,California
September 2002,34624731.74240203,California
October 2002,34651244.84045239,California
November 2002,34678641.70843776,California
December 2002,34705154.80648813,California
January 2003,34732551.6744735,California
February 2003,34760435.77138584,California
March 2003,34785621.40730667,California
April 2003,34813505.50421901,California
May 2003,34840490.11413418,California
June 2003,34868374.211046524,California
July 2003,34895358.82096169,California
August 2003,34923242.91787403,California
September 2003,34951127.01478638,California
October 2003,34978111.624701545,California
November 2003,35005995.721613884,California
December 2003,35032980.33152906,California
January 2004,35060864.4284414,California
February 2004,35089180.69125487,California
March 2004,35115670.098402955,California
April 2004,35143986.361216426,California
May 2004,35171389.196197204,California
June 2004,35199705.459010676,California
July 2004,35227108.29399146,California
August 2004,35255424.55680493,California
September 2004,35283740.819618404,California
October 2004,35311143.65459918,California
November 2004,35339459.91741265,California
December 2004,35366862.75239343,California
January 2005,35395179.0152069,California
February 2005,35424019.68525148,California
March 2005,35450069.322711095,California
April 2005,35478909.99275567,California
May 2005,35506820.31860526,California
June 2005,35535660.98864983,California
July 2005,35563571.31449942,California
August 2005,35592411.984543994,California
September 2005,35621252.65458857,California
October 2005,35649162.98043816,California
November 2005,35678003.65048274,California
December 2005,35705913.97633232,California
January 2006,35734754.6463769,California
February 2006,35764155.70720701,California
March 2006,35790711.50408582,California
April 2006,35820112.564915925,California
May 2006,35848565.20442893,California
June 2006,35877966.26525904,California
July 2006,35906418.90477205,California
August 2006,35935819.96560216,California
September 2006,35965221.02643227,California
October 2006,35993673.66594528,California
November 2006,36023074.726775385,California
December 2006,36051527.366288394,California
January 2007,36080928.4271185,California
February 2007,36110836.8526532,California
March 2007,36137850.91442647,California
April 2007,36167759.339961156,California
May 2007,36196702.97757538,California
June 2007,36226611.40311007,California
July 2007,36255555.04072429,California
August 2007,36285463.46625898,California
September 2007,36315371.891793676,California
October 2007,36344315.529407896,California
November 2007,36374223.95494259,California
December 2007,36403167.592556804,California
January 2008,36433076.0180915,California
February 2008,36463397.592548,California
March 2008,36491762.9363944,California
April 2008,36522084.5108509,California
May 2008,36551427.97000235,California
June 2008,36581749.54445885,California
July 2008,36611093.0036103,California
August 2008,36641414.5780668,California
September 2008,36671736.1525233,California
October 2008,36701079.61167475,California
November 2008,36731401.18613125,California
December 2008,36760744.6452827,California
January 2009,36791066.2197392,California
February 2009,36822010.56030838,California
March 2009,36849960.2872741,California
April 2009,36880904.62784329,California
May 2009,36910850.76387798,California
June 2009,36941795.10444717,California
July 2009,36971741.24048187,California
August 2009,37002685.58105105,California
September 2009,37033629.921620235,California
October 2009,37063576.05765493,California
November 2009,37094520.39822412,California
December 2009,37124466.53425882,California
January 2010,37155410.874828,California
February 2010,37186916.45959911,California
March 2010,37215373.116811715,California
April 2010,37246878.70158282,California
May 2010,37277367.97716776,California
June 2010,37308873.56193887,California
July 2010,37339362.8375238,California
August 2010,37370868.42229491,California
September 2010,37402374.00706601,California
October 2010,37432863.282650955,California
November 2010,37464368.86742206,California
December 2010,37494858.143006995,California
January 2011,37526363.7277781,California
February 2011,37558489.21347067,California
March 2011,37587505.78119298,California
April 2011,37619631.26688555,California
May 2011,37650720.44658803,California
June 2011,37682845.93228059,California
July 2011,37713935.111983076,California
August 2011,37746060.597675644,California
September 2011,37778186.083368205,California
October 2011,37809275.26307069,California
November 2011,37841400.748763256,California
December 2011,37872489.92846573,California
January 2012,37904615.4141583,California
February 2012,37937079.320670485,California
March 2012,37967448.781601235,California
