,r²,MAE,MSE,Mean residuals,Stdev residuals,Lag correlation residuals,Shapiro stat,Shapiro pvalue,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,alpha_10,alpha_11,alpha_12,alpha_13,alpha_14,alpha_15,alpha_16,alpha_17,alpha_18,alpha_19,alpha_20
USHighPlain,0.809,0.1068,0.017,-0.003,0.1458,0.7573,0.9803,0.0062,0.02558470007522275,1.081088901764454,1.0499332192370383,-0.2478053045675054,0.44461599212611136,0.15734390183694966,0.04252328772511492,-0.028431390361252924,0.24671569880595687,1.5377488337277392,0.6973464946482565,1.088484787340897,1.1978059289582161,0.6861001710741167,0.9212905827273336,0.5869937759365191,-1.2123989357943212,-0.5591782350258303,1.9560598887234055,-0.005600570033598876,1.3573826713306576
Greece,0.2561,0.1837,0.0547,-0.0327,0.2136,0.6643,0.9845,0.0253,0.31916766363212506,0.6154999527006898,0.07784245544602475,-0.18375371062955612,-0.7427088927856613,0.31140553012944344,0.07634363642688667,-0.00010195583700256265,-0.16405256846231714,0.18527572580795368,0.21831064532062155,-0.14182121457820202,0.6174756840283838,0.1806401441153277,0.7178289989493836,0.08171475573140022,1.1722922815936132,-0.17023943458041,0.14358565362426487,0.8688358007820621,0.37264015684634316
Sudan,0.4193,0.1647,0.0402,0.0085,0.1925,0.6556,0.9701,0.0003,-0.12481235322997802,0.40999490674109557,0.06095562620909988,0.47967169235863955,-0.31815905894009083,0.201281428505188,0.07666865012176657,0.14806936710772084,0.026555264732750078,0.9013083145652429,1.4362682173420118,1.3788376657159982,0.7428408105363816,0.2546827071427548,0.6072100706771231,0.3428813584432963,-0.07530614080619011,0.6149483928151257,0.2872359520779043,-0.27378273407005843,-0.16567352498851018
Indus,0.7376,0.1029,0.019,0.0035,0.1264,0.6122,0.9913,0.2688,0.5290898962705067,1.2134049811006702,0.9171461024929974,0.6675545703555926,3.3143834855617733,0.20149051193352868,0.9386081115656089,-0.9690322609122335,0.317088816650554,-0.009670314683499043,0.6382788683061946,1.1882190638768308,2.119061271576115,0.41509136405219493,0.7790955289912893,0.0917410882155642,-2.0277300379989414,-0.5865127025968598,0.1318738894416524,0.5774288838719983,-0.2596145176532524
Ganges,0.6639,0.126,0.0247,-0.0094,0.1552,0.7295,0.9872,0.065,0.01769786713572834,0.38085499784611127,0.5611908942895665,-0.6269512747234856,0.3053636359747265,0.742991063489889,-1.958219574601788,-0.6398152649868541,1.043015329161734,-0.07362867501861427,0.7224259024797711,-2.7190470006245833,-0.4396014711210286,0.3592565519945135,0.7787995539889745,1.0385934023867787,0.8892966197786591,1.0485287918970094,0.9360840590067545,-0.05848137659734036,0.9806108890372844
Turkey,0.4172,0.1545,0.041,-0.0247,0.1845,0.7727,0.962,0.0,0.06814012669748463,3.58153557818199,0.8624534769050076,0.7395628899977987,-2.439142437120687,0.11471147672607675,-0.031191147989946832,-0.04347470782833918,-0.671002066844469,0.5633978608039045,0.44522985138598653,1.0860581361708088,1.7189997289490608,0.5163302918005156,0.8503788400708239,0.8494976101266588,1.0837695125524438,1.4781352451121381,0.6559211803503384,0.042321666357228546,0.6141901530131612
Italy,0.5787,0.1504,0.0343,0.0125,0.208,0.7474,0.9813,0.0085,0.4407377136919329,0.604514330342637,0.2770321128259559,-0.03752396521669176,0.2285148165701562,0.2530077681201649,0.17114505876772507,0.5050632936980147,-0.36290906042482707,-0.014704628537939461,-0.042974794066007474,-0.43231653938060194,-0.7111315431057091,-0.11505403903322976,0.808986839476617,0.06219276646928099,0.5563967669179934,0.02292279845675694,0.7897570674232389,0.5487597253427893,-0.3222051076740369
California,0.7546,0.0985,0.0153,-0.0242,0.1174,0.7218,0.989,0.1223,0.023573909721540096,-0.3958845292011581,-0.15074647143551287,1.2762758268939776,0.33388554921381985,0.057504963772185315,-0.10527942160630249,0.0405364216304008,0.07994452017384837,0.5229485242518624,-0.27938951089513125,-0.2835906514195986,-0.4640016708622056,0.18218446288470264,0.8346181703068292,0.09618515892972294,0.7512456406865404,0.09721152557018753,0.25304670354128106,0.3885374762244661,0.09150887273440185
Mexico,0.6748,0.1371,0.026,-0.0316,0.1906,0.8018,0.989,0.1213,-0.007416168669832118,0.3161042275660174,-0.6923336823957609,0.46639833486852406,-0.12832251313792936,0.3426300126327551,-0.022546025854205374,0.2915989736560856,0.4710397944150797,-0.12251814171168235,0.14748440977362207,-0.29366090159474767,0.48512864521880605,-0.3902087406136969,0.872632679118099,0.3061196667857417,0.8347889405665992,0.7292383022752018,0.434152811003135,0.018823554120344966,-1.0094785380125468
Chile,0.4143,0.1687,0.044,-0.0161,0.2058,0.7638,0.9817,0.01,1.0549327427443704,1.126323617328505,0.7859590485076999,0.12806785072817448,0.1238734296036758,0.026771711649961852,0.25970059303859616,0.18760154847062752,-0.1487249408258561,-0.28412232176259905,-0.5672477939873373,-1.0361015550361403,-0.4100602993870461,0.3851315350002503,0.8650140284979038,0.7456514826624908,0.7628765057363077,0.6182803967537895,-0.59928482749499,0.09165695524684771,0.19998242173619324
