,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.8723,0.0694,0.0063,-0.06939733423945507,2
USHighPlain,0.996,0.0139,0.0002,0.013922462518306136,3
USHighPlain,-0.2546,0.245,0.0623,-0.24497253184763354,4
USHighPlain,0.4707,0.157,0.0263,0.15702835149291017,5
USHighPlain,0.9989,0.0025,0.0001,-0.0025137549935424215,6
USHighPlain,1.0,0.0006,0.0,-0.0005851910096736773,7
Greece,0.3177,0.1308,0.0223,-0.13076936382026197,2
Greece,0.9187,0.0504,0.0027,0.050350876744216636,3
Greece,0.8275,0.0728,0.0056,-0.07279857819510432,4
Greece,1.0,0.0,0.0,2.5089455383962066e-05,5
Greece,1.0,0.0,0.0,-3.4217529732481802e-06,6
Greece,0.9996,0.003,0.0,-0.001759305274989956,7
Sudan,-0.3165,0.2004,0.0431,-0.20038250751743122,2
Sudan,0.8886,0.0578,0.0036,0.05779852057536693,3
Sudan,0.9742,0.0213,0.0008,-0.021326961013705723,4
Sudan,0.4756,0.1223,0.0172,-0.12232634746073856,5
Sudan,1.0,0.0,0.0,1.2208783250315557e-05,6
Sudan,0.9992,0.0041,0.0,-0.003874196708163002,7
Indus,0.1287,0.244,0.0639,0.24397596614754838,2
Indus,0.9845,0.0332,0.0011,-0.03320906707866112,3
Indus,0.917,0.0746,0.0061,-0.07456531692214943,4
Indus,0.9958,0.0168,0.0003,-0.016754036090549013,5
Indus,1.0,0.0001,0.0,-7.425720314387469e-05,6
Indus,0.9998,0.0029,0.0,0.001202414066584739,7
Ganges,-0.7461,0.3041,0.1009,0.30408779257550583,2
Ganges,0.9814,0.032,0.0011,0.03195502255840284,3
Ganges,0.8719,0.0797,0.0074,-0.07966353360541394,4
Ganges,0.8707,0.081,0.0075,-0.08102165518394429,5
Ganges,1.0,0.0,0.0,4.211090321640446e-05,6
Ganges,0.9997,0.0038,0.0,-0.003713031601827364,7
Turkey,-1.2639,0.262,0.0884,0.26199353243781365,2
Turkey,0.8918,0.0643,0.0042,-0.06427914657823681,3
Turkey,0.5555,0.1295,0.0174,-0.12946829499728227,4
Turkey,0.9529,0.0415,0.0018,0.04146227331650222,5
Turkey,0.9997,0.001,0.0,-0.000996236865265649,6
Turkey,0.9998,0.0025,0.0,-0.0011736935097632004,7
Italy,0.3532,0.1253,0.0201,0.1252683326311782,2
Italy,0.9621,0.0338,0.0012,0.03379172066162499,3
Italy,0.6274,0.1059,0.0116,-0.10588286415162688,4
Italy,0.9919,0.0148,0.0003,0.014797118859143733,5
Italy,1.0,0.0001,0.0,-6.80542637123937e-05,6
Italy,0.9998,0.002,0.0,0.0011688741711329879,7
California,-1.6342,0.3119,0.1166,0.31189132321540164,2
California,0.9691,0.0366,0.0014,-0.036606393852612135,3
California,0.9317,0.0519,0.003,-0.05188737863927934,4
California,0.9515,0.0444,0.0021,-0.04443697970699232,5
California,1.0,0.0003,0.0,-0.00031539425444929565,6
California,0.9996,0.0039,0.0,0.003637659986666924,7
