,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.9397,0.052,0.003,0.05199338439117244,2
USHighPlain,0.999,0.0071,0.0001,-0.007111003824555033,3
USHighPlain,0.7048,0.1195,0.0147,0.11952235411831082,4
USHighPlain,0.8705,0.0787,0.0064,-0.07873076388232864,5
USHighPlain,1.0,0.0005,0.0,0.00045457215154909525,6
USHighPlain,1.0,0.0003,0.0,0.00027543720951431753,7
Greece,0.2429,0.1394,0.0247,0.1394102132737236,2
Greece,0.9813,0.0242,0.0006,-0.024165198846730216,3
Greece,0.958,0.036,0.0014,0.03598273866616764,4
Greece,1.0,0.0,0.0,-1.5063211674033434e-05,5
Greece,1.0,0.0,0.0,1.8611069773876735e-06,6
Greece,0.9999,0.0014,0.0,0.0006971959592431138,7
Sudan,0.705,0.0967,0.0097,0.09672246339564886,2
Sudan,0.9652,0.0321,0.0011,-0.03208618507501574,3
Sudan,0.9929,0.0092,0.0002,0.009189397630524562,4
Sudan,0.841,0.0683,0.0052,0.06831570873830314,5
Sudan,1.0,0.0,0.0,-3.8522633290895515e-06,6
Sudan,0.9998,0.0021,0.0,0.00207972334838554,7
Indus,0.8008,0.1195,0.0146,-0.11953749632121796,2
Indus,0.9955,0.0178,0.0003,0.01779078821514613,3
Indus,0.9795,0.0375,0.0015,0.03753188970931728,4
Indus,0.9988,0.0091,0.0001,0.009130568385429163,5
Indus,1.0,0.0001,0.0,7.396223616081913e-05,6
Indus,1.0,0.0015,0.0,-0.0006920674729013848,7
Ganges,0.5897,0.1516,0.0237,-0.15158976384324094,2
Ganges,0.9944,0.0175,0.0003,-0.017528945298569108,3
Ganges,0.9667,0.0405,0.0019,0.04053525602535684,4
Ganges,0.9534,0.0497,0.0027,0.0497320541039217,5
Ganges,1.0,0.0,0.0,-2.898845122927019e-05,6
Ganges,0.9999,0.002,0.0,0.0017564468826583714,7
Turkey,0.0018,0.1836,0.039,-0.1835969493468017,2
Turkey,0.973,0.0321,0.0011,0.03209720669227932,3
Turkey,0.895,0.0628,0.0041,0.06281423401896984,4
Turkey,0.9878,0.0215,0.0005,-0.021457718680712883,5
Turkey,1.0,0.0003,0.0,0.00033455286184971557,6
Turkey,0.9999,0.0012,0.0,0.0005065175377709852,7
Italy,0.4175,0.1192,0.0181,-0.11920576936141465,2
Italy,0.9897,0.0175,0.0003,-0.017481425701168125,3
Italy,0.9112,0.0516,0.0028,0.0515576529199823,4
Italy,0.9972,0.0091,0.0001,-0.009072115146371329,5
Italy,1.0,0.0,0.0,9.990565249575837e-06,6
Italy,1.0,0.0009,0.0,-0.0005817704034290467,7
California,0.23,0.1782,0.0341,-0.1781565258699245,2
California,0.9918,0.019,0.0004,0.01896874277698734,3
California,0.9868,0.0231,0.0006,0.023096202375193737,4
California,0.9819,0.0276,0.0008,0.027628035671223287,5
California,1.0,0.0,0.0,3.105676014617992e-05,6
California,0.9999,0.0019,0.0,-0.001768451699920929,7
Mexico,0.6123,0.1255,0.0166,-0.1254723292679129,2
Mexico,0.9991,0.0063,0.0,-0.006281236846566635,3
Mexico,0.8331,0.0826,0.0071,0.08258585394455634,4
Mexico,0.9253,0.0559,0.0032,-0.05590860068347792,5
Mexico,0.9999,0.0007,0.0,-0.0007096806353688468,6
Mexico,1.0,0.0002,0.0,3.273871534901035e-05,7
Chile,0.845,0.0747,0.0058,0.07468243862003983,2
Chile,0.9838,0.0243,0.0006,0.02428018338831943,3
Chile,0.9525,0.0411,0.0018,0.04113807551534026,4
Chile,0.659,0.1101,0.0127,-0.11005219446572892,5
Chile,1.0,0.0,0.0,9.768096346797857e-06,6
Chile,0.999,0.0053,0.0,-0.005180704536640083,7
Iran,-1.4346,0.3355,0.1379,-0.3355277964401011,2
Iran,1.0,0.0012,0.0,0.0011691870948962449,3
Iran,0.9984,0.009,0.0001,0.008970937077285527,4
Iran,0.9913,0.0211,0.0005,-0.021089259929884623,5
Iran,1.0,0.0,0.0,3.584182403707964e-05,6
Iran,1.0,0.0009,0.0,-0.0008896411538262829,7
Vietnam,0.9986,0.0051,0.0,0.0051374092623520514,2
Vietnam,0.9887,0.0144,0.0002,-0.01441243639112663,3
Vietnam,0.877,0.0476,0.0025,0.047597887424561273,4
Vietnam,0.6415,0.0818,0.0072,0.08181746471826115,5
Vietnam,1.0,0.0001,0.0,-7.56380247687844e-05,6
Vietnam,1.0,0.0005,0.0,9.94252400102771e-05,7
Thailand,-1.1713,0.3332,0.1273,-0.33318489161906706,2
Thailand,0.9993,0.0061,0.0,0.00609482457222768,3
Thailand,0.962,0.0461,0.0022,0.04610280421466237,4
Thailand,0.9604,0.0472,0.0023,0.04717196527363379,5
Thailand,1.0,0.0001,0.0,-5.717674239184675e-05,6
Thailand,1.0,0.0002,0.0,0.00010925605303843406,7
Australia,-1.5539,0.292,0.1019,-0.2920042431220474,2
Australia,0.9892,0.0205,0.0004,-0.02045812769698934,3
Australia,0.5708,0.1278,0.0171,0.12778469534639736,4
Australia,0.9313,0.0508,0.0027,-0.05082567912990802,5
Australia,0.9992,0.0026,0.0,0.0026245943265368675,6
Australia,0.9969,0.0103,0.0001,0.010296714309602032,7
ArabianPeninsula,0.9599,0.0532,0.0029,-0.053227044480150885,2
ArabianPeninsula,1.0,0.0005,0.0,0.0004522729164555221,3
ArabianPeninsula,1.0,0.0009,0.0,0.0008554926544971578,4
