,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.7865,0.1124,0.019,-0.06287580185529498,2
USHighPlain,0.804,0.1078,0.0174,0.02044399490246621,3
USHighPlain,0.1308,0.2396,0.0774,-0.23845099946347348,4
USHighPlain,0.4738,0.1708,0.0468,0.16354988387707026,5
USHighPlain,0.8084,0.1063,0.0171,0.004007777390617653,6
USHighPlain,0.8096,0.1065,0.0169,0.005936341374486396,7
Greece,0.4543,0.1459,0.0401,-0.01865620521282072,2
Greece,0.0714,0.2185,0.0683,0.16246403535165788,3
Greece,0.4239,0.1457,0.0424,0.039314580412336916,4
Greece,0.256,0.1837,0.0547,0.11213824806282521,5
Greece,0.2561,0.1837,0.0547,0.112109736854468,6
Greece,0.2598,0.1832,0.0544,0.11035385333245128,7
Sudan,-0.4245,0.2643,0.0986,-0.2331535794915254,2
Sudan,0.4165,0.1681,0.0404,0.025027448601272706,3
Sudan,0.3587,0.1703,0.0444,-0.05409803298779992,4
Sudan,-0.0003,0.2185,0.0692,-0.1550974194348328,5
Sudan,0.4193,0.1647,0.0402,-0.032758863190843895,6
Sudan,0.4211,0.1633,0.04,-0.03664526868225722,7
Indus,0.0588,0.226,0.0682,0.21739079606341147,2
Indus,0.699,0.1154,0.0218,-0.05979423716279801,3
Indus,0.6107,0.1371,0.0282,-0.10115048700628629,4
Indus,0.7128,0.1098,0.0208,-0.043339206174685896,5
Indus,0.7377,0.1028,0.019,-0.026659427287280765,6
Indus,0.739,0.1016,0.0189,-0.02538275601755215,7
Ganges,-0.7353,0.3097,0.1277,0.3091180704416731,2
Ganges,0.6295,0.1352,0.0273,0.036985300424570065,3
Ganges,0.5557,0.1445,0.0327,-0.0746332557392467,4
Ganges,0.5491,0.1413,0.0332,-0.07599137731777705,5
Ganges,0.6638,0.126,0.0247,0.005072388769383637,6
Ganges,0.6712,0.1244,0.0242,0.0013172462643398625,7
Turkey,-1.2392,0.3524,0.1575,0.31894883491493337,2
Turkey,0.4731,0.1386,0.0371,-0.007323844101117186,3
Turkey,0.3847,0.1537,0.0433,-0.07251299252016262,4
Turkey,0.334,0.1728,0.0469,0.09841757579362186,5
Turkey,0.4137,0.1555,0.0412,0.05595906561185399,6
Turkey,0.4191,0.1543,0.0409,0.05578160896735645,7
Italy,0.1622,0.2198,0.0683,0.16996813963296142,2
Italy,0.5201,0.1667,0.0391,0.07849152766340822,3
Italy,0.5335,0.1467,0.038,-0.06118305714984367,4
Italy,0.5566,0.1569,0.0361,0.05949692586092696,5
Italy,0.5787,0.1505,0.0343,0.04463175273807084,6
Italy,0.5754,0.1515,0.0346,0.045868681172916204,7
California,-1.505,0.3455,0.1561,0.34522572556385506,2
California,0.7706,0.0952,0.0143,-0.003271991504158731,3
California,0.7666,0.092,0.0145,-0.018552976290825952,4
California,0.7659,0.0965,0.0146,-0.01110257735853892,5
California,0.7555,0.0984,0.0152,0.033019008094004106,6
California,0.7478,0.0999,0.0157,0.03697206233512032,7
Mexico,-0.2676,0.2818,0.1013,0.2804526735923309,2
Mexico,0.6638,0.1385,0.0269,0.03677408293171863,3
Mexico,0.4394,0.1732,0.0448,-0.14709827561279723,4
Mexico,0.4823,0.171,0.0414,0.13167768499673355,5
Mexico,0.6702,0.1381,0.0264,0.027685516818149684,6
Mexico,0.6746,0.1371,0.026,0.02622743671519475,7
Chile,0.3337,0.1884,0.0501,-0.11339478528371347,2
Chile,0.4362,0.1703,0.0424,-0.01178579953022051,3
Chile,0.4223,0.1771,0.0434,-0.055387325083938996,4
Chile,-0.0744,0.2272,0.0808,0.1962010774078884,5
Chile,0.4143,0.1687,0.044,0.03460184889929182,6
Chile,0.4012,0.1698,0.045,0.04403079332478816,7
Iran,-3.0358,0.4345,0.246,0.43368912945010246,2
Iran,0.9347,0.0443,0.004,-0.005604849903537708,3
Iran,0.9274,0.0481,0.0044,-0.022792593530602697,4
Iran,0.915,0.0578,0.0052,0.030484016034229965,5
Iran,0.9351,0.0445,0.004,-0.003723999056283585,6
Iran,0.9352,0.0445,0.0039,-0.001715802234802489,7
Vietnam,0.3785,0.1875,0.048,-0.0016539786003454378,2
Vietnam,0.365,0.1875,0.049,0.03261857834817966,3
Vietnam,0.2514,0.1988,0.0578,-0.08863590378400445,4
Vietnam,0.0966,0.2188,0.0697,-0.13970482621494637,5
Vietnam,0.3779,0.187,0.048,0.008617744364996115,6
Vietnam,0.3758,0.1875,0.0482,0.008072701360990812,7
Thailand,-3.9062,0.5291,0.343,0.5204125975779091,2
Thailand,0.5302,0.1534,0.0328,0.042578996755196795,3
Thailand,0.5244,0.1473,0.0333,-0.04035389636178314,4
Thailand,0.5314,0.1507,0.0328,-0.02368762086311843,5
Thailand,0.5191,0.1553,0.0336,0.052169132210787277,6
Thailand,0.5193,0.1553,0.0336,0.0519335973859904,7
Australia,0.0519,0.2336,0.0885,0.22339413459491816,2
Australia,0.427,0.1823,0.0535,0.03821185826871421,3
Australia,-0.2432,0.2986,0.116,-0.2542758088127599,4
Australia,0.3647,0.1855,0.0593,0.09959960704444255,5
Australia,0.4426,0.1853,0.052,-0.0038212193879456893,6
Australia,0.4707,0.1819,0.0494,-0.020948846340336922,7
ArabianPeninsula,0.8315,0.1062,0.0122,0.10624761595937181,2
ArabianPeninsula,0.9878,0.023,0.0009,-0.009302312934350776,3
ArabianPeninsula,0.9876,0.0232,0.0009,-0.010127171491805734,4
ArabianPeninsula,0.9869,0.0255,0.001,0.011088548159708245,5
