,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.7844,0.1105,0.0192,0.05851491677533252,2
USHighPlain,0.8094,0.107,0.017,-0.0005894714403949589,3
USHighPlain,0.6225,0.1408,0.0336,0.1260438865024709,4
USHighPlain,0.7378,0.1296,0.0233,-0.07220923149816855,5
USHighPlain,0.809,0.1068,0.017,0.006976104535709168,6
USHighPlain,0.8087,0.1069,0.017,0.006796969593674388,7
Greece,-0.4038,0.2849,0.1032,0.2515233718811648,2
Greece,0.3311,0.1674,0.0492,0.08794795976071104,3
Greece,0.1258,0.2104,0.0643,0.1480958972736089,4
Greece,0.2561,0.1837,0.0547,0.1120980953957672,5
Greece,0.2561,0.1837,0.0547,0.11211501971441865,6
Greece,0.2547,0.1839,0.0548,0.11281035456668437,7
Sudan,0.3812,0.169,0.0428,0.06395139142155465,2
Sudan,0.3586,0.1672,0.0444,-0.06485725704910995,3
Sudan,0.4314,0.1629,0.0393,-0.02358167434356966,4
Sudan,0.3677,0.1708,0.0437,0.03554463676420894,5
Sudan,0.4193,0.1647,0.0402,-0.03277492423742331,6
Sudan,0.4197,0.1652,0.0401,-0.030691348625708683,7
Indus,0.4551,0.1656,0.0395,-0.14612266640535485,2
Indus,0.749,0.0991,0.0182,-0.00879438186899076,3
Indus,0.7374,0.1009,0.019,0.010946719625180394,4
Indus,0.743,0.1001,0.0186,-0.01745460169870772,5
Indus,0.7375,0.1029,0.019,-0.026511207847976066,6
Indus,0.7368,0.1034,0.0191,-0.02727723755703827,7
Ganges,0.3513,0.1767,0.0477,-0.14655948597707372,2
Ganges,0.6539,0.1254,0.0255,-0.012498667432401878,3
Ganges,0.6353,0.1313,0.0268,0.045565533891524075,4
Ganges,0.6081,0.1382,0.0288,0.05476233197008894,5
Ganges,0.664,0.126,0.0247,0.0050012894149379615,6
Ganges,0.6598,0.1269,0.025,0.006786724748825599,7
Turkey,0.1796,0.1767,0.0577,-0.12664164686968205,2
Turkey,0.3446,0.1679,0.0461,0.08905250916939897,3
Turkey,0.2523,0.1851,0.0526,0.11976953649608947,4
Turkey,0.4499,0.1478,0.0387,0.035497583796406766,5
Turkey,0.4183,0.1542,0.0409,0.05728985533896935,6
Turkey,0.4168,0.1545,0.041,0.05746182001489063,7
Italy,0.4563,0.1631,0.0443,-0.07450596235963142,2
Italy,0.5952,0.1438,0.033,0.027218381300615095,3
Italy,0.4955,0.1733,0.0411,0.09625745992176554,4
Italy,0.5855,0.1474,0.0338,0.03562769185541189,5
Italy,0.5787,0.1504,0.0343,0.04470979756703279,6
Italy,0.5802,0.15,0.0342,0.04411803659835417,7
California,0.3768,0.1617,0.0388,-0.14482212352147109,2
California,0.7299,0.105,0.0168,0.05230314512544074,3
California,0.72,0.1077,0.0174,0.05643060472364713,4
California,0.7122,0.1094,0.0179,0.060962438019676685,5
California,0.7545,0.0986,0.0153,0.03336545910859958,6
California,0.757,0.0979,0.0151,0.031565950648532466,7
Mexico,0.535,0.151,0.0372,-0.0991786627074667,2
Mexico,0.6787,0.1368,0.0257,0.020012429713879596,3
Mexico,0.5009,0.1675,0.0399,0.10887952050500253,4
Mexico,0.6832,0.1328,0.0253,-0.029614934123031688,5
Mexico,0.6769,0.1366,0.0258,0.025583985925077386,6
Mexico,0.6749,0.1371,0.026,0.026326405275795238,7
Chile,0.2532,0.188,0.0561,0.10931005094684801,2
Chile,0.3814,0.1727,0.0465,0.05890779571512762,3
Chile,0.3535,0.1756,0.0486,0.07576568784214846,4
Chile,0.42,0.1773,0.0436,-0.07542458213892073,5
Chile,0.4144,0.1687,0.044,0.03463738042315499,6
Chile,0.4262,0.1675,0.0431,0.029446907790168116,7
Iran,-1.3979,0.3436,0.1462,-0.3391414946668052,2
Iran,0.9351,0.0445,0.004,-0.0024445111318078046,3
Iran,0.9344,0.0451,0.004,0.005357238850581477,4
Iran,0.9275,0.0467,0.0044,-0.024702958156588673,5
Iran,0.9351,0.0443,0.004,-0.0035778564026669696,6
