Coefficient;Value;Std Error;t-value;p-value;Significance;Hotspot
alpha_0;0.0032;0.0348;0.0919;0.9269;;USHighPlain
alpha_1;-3.5089;0.1259;-27.8771;0.0;***;USHighPlain
alpha_2;-1.4764;0.0908;-16.2603;0.0;***;USHighPlain
alpha_3;0.827;0.0408;20.2907;0.0;***;USHighPlain
alpha_4;2.0987;0.063;33.3171;0.0;***;USHighPlain
alpha_5;0.5456;0.0358;15.2302;0.0;***;USHighPlain
alpha_6;-0.4618;0.0562;-8.2238;0.0;***;USHighPlain
alpha_7;0.4845;0.0328;14.7874;0.0;***;USHighPlain
alpha_8;1.1489;0.0337;34.0426;0.0;***;USHighPlain
alpha_9;-0.0649;0.0309;-2.0977;0.0383;**;USHighPlain
alpha_10;1.1506;0.0878;13.1089;0.0;***;USHighPlain
alpha_11;0.7196;0.0708;10.1707;0.0;***;USHighPlain
alpha_12;2.2489;0.0858;26.1996;0.0;***;USHighPlain
alpha_13;0.2822;0.0436;6.4738;0.0;***;USHighPlain
alpha_14;0.893;0.0042;211.786;0.0;***;USHighPlain
alpha_15;0.093;0.0439;2.1181;0.0365;**;USHighPlain
alpha_16;1.5991;0.1504;10.6317;0.0;***;USHighPlain
alpha_17;-1.4608;0.074;-19.7395;0.0;***;USHighPlain
alpha_18;0.5;0.0488;10.2532;0.0;***;USHighPlain
alpha_19;0.2667;0.0178;14.9888;0.0;***;USHighPlain
alpha_20;-0.9225;0.0991;-9.3106;0.0;***;USHighPlain
alpha_21;0.34;0.0739;4.6007;0.0;***;USHighPlain
alpha_0;0.5366;0.0398;13.4891;0.0;***;Greece
alpha_1;1.067;0.0594;17.9746;0.0;***;Greece
alpha_2;0.2995;0.0587;5.0992;0.0;***;Greece
alpha_3;-0.0641;0.0462;-1.3885;0.1679;;Greece
alpha_4;0.3096;0.0665;4.6521;0.0;***;Greece
alpha_5;0.2291;0.0331;6.9195;0.0;***;Greece
alpha_6;0.1659;0.0339;4.8892;0.0;***;Greece
alpha_7;0.0792;0.0195;4.0527;0.0001;***;Greece
alpha_8;-0.1066;0.0543;-1.9633;0.0522;;Greece
alpha_9;-0.0733;0.0576;-1.2728;0.2059;;Greece
alpha_10;-0.3337;0.1297;-2.5727;0.0115;**;Greece
alpha_11;-0.4342;0.1051;-4.1311;0.0001;***;Greece
alpha_12;-0.3462;0.1025;-3.3758;0.001;***;Greece
alpha_13;-0.2896;0.1043;-2.7766;0.0065;***;Greece
alpha_14;0.6463;0.005;129.0243;0.0;***;Greece
alpha_15;0.7944;0.0407;19.4987;0.0;***;Greece
alpha_16;0.9537;0.0518;18.4117;0.0;***;Greece
alpha_17;-0.542;0.0783;-6.9264;0.0;***;Greece
alpha_18;0.6246;0.0604;10.3351;0.0;***;Greece
alpha_19;0.0828;0.0203;4.0836;0.0001;***;Greece
alpha_20;0.5862;0.0852;6.8797;0.0;***;Greece
alpha_21;-0.2394;0.0918;-2.6078;0.0104;**;Greece
alpha_0;0.2878;0.0417;6.9081;0.0;***;Sudan
alpha_1;1.3096;0.0569;23.014;0.0;***;Sudan
alpha_2;0.382;0.101;3.7806;0.0003;***;Sudan
alpha_3;-0.0019;0.0453;-0.0413;0.9671;;Sudan
alpha_4;-0.0268;0.0786;-0.3405;0.7341;;Sudan
alpha_5;-0.1618;0.0466;-3.4694;0.0008;***;Sudan
alpha_6;0.6513;0.038;17.1575;0.0;***;Sudan
alpha_7;0.1395;0.0202;6.9058;0.0;***;Sudan
alpha_8;-0.0723;0.0879;-0.8226;0.4126;;Sudan
alpha_9;0.6472;0.0404;16.0233;0.0;***;Sudan
alpha_10;-0.378;0.0998;-3.7882;0.0003;***;Sudan
alpha_11;-1.6515;0.0875;-18.8719;0.0;***;Sudan
alpha_12;0.893;0.0598;14.9359;0.0;***;Sudan
alpha_13;0.2542;0.062;4.1028;0.0001;***;Sudan
alpha_14;0.4913;0.0079;62.3187;0.0;***;Sudan
alpha_15;0.3327;0.0348;9.5595;0.0;***;Sudan
alpha_16;-0.4775;0.1073;-4.452;0.0;***;Sudan
alpha_17;1.1077;0.0712;15.5519;0.0;***;Sudan
alpha_18;0.3771;0.0495;7.6119;0.0;***;Sudan
alpha_19;0.0358;0.0279;1.2813;0.2028;;Sudan
alpha_20;1.3771;0.0718;19.166;0.0;***;Sudan
alpha_21;-0.2832;0.0968;-2.9264;0.0042;***;Sudan
alpha_0;0.0484;0.0567;0.853;0.3956;;Indus
alpha_1;0.3;0.0798;3.7616;0.0003;***;Indus
alpha_2;0.4436;0.0731;6.0654;0.0;***;Indus
alpha_3;-0.2197;0.0386;-5.694;0.0;***;Indus
alpha_4;-0.3041;0.0492;-6.1797;0.0;***;Indus
alpha_5;-0.0522;0.015;-3.4893;0.0007;***;Indus
alpha_6;-0.465;0.0262;-17.7441;0.0;***;Indus
