,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.8324,0.0657,0.005,-0.06565574166640117,2
USHighPlain,0.9996,0.0035,0.0,0.0034643754505521538,3
USHighPlain,0.7902,0.078,0.0063,0.07801241611768024,4
USHighPlain,0.942,0.0411,0.0017,-0.041148762779771086,5
USHighPlain,0.9998,0.0007,0.0,0.0006637961390579868,6
USHighPlain,0.9999,0.0016,0.0,-0.0013881692880516922,7
Greece,0.2109,0.1755,0.0393,0.17549338855285984,2
Greece,0.9943,0.0165,0.0003,-0.0165151512220309,3
Greece,0.9653,0.0398,0.0017,0.03981871605062684,4
Greece,0.9997,0.0034,0.0,-0.003400549889255926,5
Greece,1.0,0.0,0.0,4.6425227052722684e-07,6
Greece,1.0,0.0012,0.0,0.0006297054469899033,7
Sudan,0.8515,0.0983,0.0103,0.09833241062652838,2
Sudan,0.9997,0.0045,0.0,-0.004540772977241545,3
Sudan,0.9987,0.0055,0.0001,0.00548267824582631,4
Sudan,0.9831,0.0307,0.0012,0.03065887657212033,5
Sudan,1.0,0.0,0.0,-5.977733307193425e-07,6
Sudan,1.0,0.0002,0.0,-0.00018580638882423694,7
Indus,0.844,0.112,0.0132,-0.11203940634931386,2
Indus,1.0,0.0008,0.0,-0.000825926900640361,3
Indus,0.9931,0.0224,0.0006,0.0224074628567298,4
Indus,0.9873,0.0321,0.0011,0.032101840915738845,5
Indus,1.0,0.0,0.0,5.981879216376571e-06,6
Indus,1.0,0.0013,0.0,-0.0004769725324789294,7
Ganges,0.6994,0.1492,0.0233,-0.1491502158654925,2
Ganges,0.9886,0.0291,0.0009,-0.029081772415833724,3
Ganges,0.9476,0.061,0.0041,0.06095996238041717,4
Ganges,0.9519,0.0593,0.0037,0.05930041830822141,5
Ganges,1.0,0.0,0.0,-4.128813504581411e-05,6
Ganges,0.9999,0.002,0.0,0.0018459034984679792,7
Turkey,-0.0482,0.2551,0.0819,-0.255145008224716,2
Turkey,0.9974,0.0139,0.0002,0.01387819089363397,3
Turkey,0.9654,0.0498,0.0027,0.0498435045420768,4
Turkey,0.9948,0.0198,0.0004,-0.019770660085402823,5
Turkey,1.0,0.0001,0.0,0.00010402518744330878,6
Turkey,0.9999,0.0018,0.0,0.0003054733955462862,7
Italy,0.6007,0.1142,0.0181,-0.11417912511225595,2
Italy,0.9791,0.0299,0.0009,-0.029922935435749868,3
Italy,0.949,0.0468,0.0023,0.046822921787596485,4
Italy,1.0,0.0014,0.0,-0.0014050129704904627,5
Italy,1.0,0.0,0.0,3.26210274059381e-06,6
Italy,1.0,0.0008,0.0,-0.0002074583601065,7
California,0.5391,0.1402,0.0221,-0.14016911097989615,2
California,1.0,0.0012,0.0,0.0011717936533424023,3
California,0.9911,0.0188,0.0004,0.018805595967711516,4
California,1.0,0.001,0.0,0.0010106565004713041,5
California,1.0,0.0001,0.0,9.817255481263097e-05,6
California,0.9999,0.0021,0.0,-0.0018027086587674142,7
Mexico,0.79,0.0964,0.0101,-0.09638883877962186,2
Mexico,0.9999,0.0017,0.0,-0.0017080881483938822,3
Mexico,0.9086,0.0642,0.0044,0.06423543798304848,4
Mexico,0.9592,0.0436,0.002,-0.043565005004417144,5
Mexico,0.9999,0.0004,0.0,-0.00041408294045591635,6
Mexico,1.0,0.0012,0.0,0.0004964494489569494,7
Chile,0.7909,0.0758,0.0061,0.0757933127184579,2
Chile,1.0,0.0003,0.0,0.0003400588414655907,3
Chile,0.9501,0.0367,0.0015,0.03666290801421025,4
Chile,0.5738,0.1089,0.0124,-0.10893850418673255,5
Chile,1.0,0.0,0.0,4.902235977049697e-06,6
Chile,0.9987,0.0055,0.0,-0.0054771837485222494,7
Iran,-0.7771,0.2876,0.1092,-0.28763458147112797,2
Iran,0.998,0.011,0.0001,0.011026121443190522,3
Iran,0.9958,0.0154,0.0003,0.015402997835873093,4
Iran,0.9727,0.0379,0.0017,-0.037920958568667014,5
Iran,1.0,0.0001,0.0,7.07738461862639e-05,6
Iran,1.0,0.0011,0.0,-0.0009697297308284261,7
Vietnam,0.9294,0.0556,0.0033,0.05561212341325047,2
Vietnam,0.9983,0.0086,0.0001,-0.008624678124499524,3
Vietnam,0.9099,0.0621,0.0043,0.06207320293682949,4
Vietnam,0.8725,0.0755,0.006,0.07552853610838256,5
Vietnam,1.0,0.0001,0.0,-7.376028827778882e-05,6
Vietnam,1.0,0.0012,0.0,-0.00021420318133713977,7
Thailand,-0.4679,0.2546,0.0784,-0.25457137182714823,2
Thailand,0.9971,0.012,0.0002,0.012024266373778148,3
Thailand,0.9637,0.0428,0.0019,0.04280685334571643,4
Thailand,0.9988,0.0079,0.0001,-0.007856843227181396,5
Thailand,1.0,0.0,0.0,-1.4691738788915195e-05,6
Thailand,1.0,0.0005,0.0,0.0001782461281719299,7
Australia,0.2855,0.1398,0.0248,0.1398114863066092,2
Australia,0.9952,0.0128,0.0002,-0.012814657230614621,3
Australia,0.8178,0.0784,0.0063,0.07840763384296541,4
Australia,0.999,0.0057,0.0,0.005682606692430509,5
Australia,0.9999,0.0007,0.0,0.0007091203577914829,6
Australia,0.9996,0.0032,0.0,0.003225949467931002,7
ArabianPeninsula,0.9681,0.0493,0.0025,-0.049296690279041634,2
ArabianPeninsula,1.0,0.0018,0.0,-0.0017525643710573525,3
ArabianPeninsula,1.0,0.0005,0.0,0.0004749743308281202,4
ArabianPeninsula,0.9997,0.0046,0.0,-0.004580550775680315,5
ArabianPeninsula,1.0,0.0,0.0,3.7637693085693415e-07,6
ArabianPeninsula,0.9999,0.0021,0.0,-0.0021040207664065015,7
China,0.6196,0.1586,0.0293,-0.1585724193064847,2
China,0.9886,0.0296,0.0009,0.02955103206432565,3
China,0.9566,0.0565,0.0033,0.056460710534315256,4
China,0.9828,0.0357,0.0013,-0.035732705727057223,5
China,1.0,0.0,0.0,2.2944234777813665e-05,6
China,0.9999,0.0019,0.0,-0.0011564072644347624,7
Peru,0.9005,0.0737,0.0058,0.07370783835520087,2
Peru,0.9937,0.0176,0.0004,-0.017638642924764355,3
Peru,0.9859,0.0256,0.0008,0.025573723601247753,4
Peru,0.9914,0.0207,0.0005,0.02074371476469292,5
Peru,1.0,0.0,0.0,1.8905524763197305e-07,6
Peru,1.0,0.0013,0.0,-0.0012184792186538543,7
Nile,0.8972,0.0522,0.0029,-0.05224822634000605,2
Nile,0.9306,0.0432,0.002,-0.04318542925729926,3
Nile,0.9948,0.0105,0.0001,-0.010462017421515675,4
Nile,0.9914,0.0153,0.0002,0.015255593441905073,5
Nile,1.0,0.0001,0.0,-6.431279714637394e-05,6
Nile,0.9971,0.0075,0.0001,0.0074859538012584294,7
Java,0.6889,0.1206,0.016,0.12059123743536512,2
Java,0.997,0.0116,0.0002,-0.011563688604729604,3
Java,0.9928,0.0178,0.0004,0.01776125946495052,4
Java,0.993,0.0181,0.0004,0.01812379482634024,5
Java,1.0,0.0,0.0,1.2847417933776995e-05,6
Java,1.0,0.0002,0.0,-1.3525475848573097e-05,7
Japan,-0.032,0.1745,0.0393,-0.17451392786714115,2
Japan,0.8415,0.0772,0.006,0.07722073432859548,3
Japan,0.9093,0.0581,0.0034,0.05811068913616298,4
Japan,0.3415,0.156,0.0251,-0.15595889322062187,5
Japan,1.0,0.0002,0.0,-0.0002112308140257695,6
Japan,0.9995,0.0033,0.0,0.0026640641733836033,7
Spain,0.9627,0.0447,0.0022,-0.044670673251968405,2
Spain,1.0,0.0006,0.0,-0.0006120786580908077,3
Spain,0.9913,0.0217,0.0005,0.02170336600388823,4
Spain,1.0,0.0007,0.0,-0.0006963064239403246,5
Spain,1.0,0.0,0.0,6.486109755579939e-06,6
Spain,0.9996,0.004,0.0,-0.0017514203458801117,7
