r²,MAE,MSE,MBD,Scenario
0.4772,0.1098,0.0157,0.10977268653548057,2
0.9985,0.0067,0.0,-0.006665536375151218,3
0.0573,0.1653,0.0283,-0.16531029698658728,4
0.7421,0.086,0.0077,0.08595983772989953,5
0.999,0.0017,0.0,-0.001693854026515841,6
0.9995,0.0033,0.0,0.0028304223091996997,7
0.4368,0.14,0.028,-0.14000434996081387,2
0.9783,0.032,0.0011,0.03201795410256289,3
0.856,0.0816,0.0072,-0.08155476018157976,4
0.9991,0.0065,0.0,0.006468422247570599,5
1.0,0.0,0.0,-2.437236949616095e-06,6
0.9999,0.0024,0.0,-0.0012924994272410567,7
0.3003,0.2119,0.0484,-0.21194741619715202,2
0.9989,0.0086,0.0001,0.008563826051964313,3
0.9918,0.014,0.0006,-0.01404322499174078,4
0.9307,0.0647,0.0048,-0.06474978517781142,5
1.0,0.0,0.0,1.9175435859209665e-06,6
1.0,0.0004,0.0,0.0003584732107856302,7
0.2732,0.2392,0.0613,0.23920126971231018,2
1.0,0.0016,0.0,0.0015896482871463476,3
0.9688,0.047,0.0026,-0.04701174875727876,4
0.9548,0.0583,0.0038,-0.058344758908717605,5
1.0,0.0,0.0,-1.2809510215953397e-05,6
0.9999,0.0024,0.0,0.0010185803535657822,7
-0.3374,0.3069,0.1038,0.30691744337735033,2
0.9588,0.0554,0.0032,0.05544753464198428,3
0.7904,0.1195,0.0163,-0.11946985193876544,4
0.831,0.1084,0.0131,-0.1084384693464613,5
1.0,0.0001,0.0,8.683288879895097e-05,6
0.9997,0.0039,0.0,-0.0037561620222977266,7
-2.0853,0.4339,0.2411,0.4338533636947235,2
0.9904,0.027,0.0007,-0.026983062769110375,3
0.8337,0.1094,0.013,-0.10940162845424736,4
0.9786,0.0391,0.0017,0.03908190831743533,5
1.0,0.0004,0.0,-0.00040294205948219737,6
0.9998,0.0035,0.0,-0.0008899167332219279,7
0.4108,0.1448,0.0268,0.14480660537997744,2
0.9248,0.0573,0.0034,0.05725150277887557,3
0.7831,0.0975,0.0099,-0.09747931295657536,4
0.9998,0.0026,0.0,0.0026283080843062905,5
1.0,0.0,0.0,-1.8213356844308107e-05,6
0.9999,0.0015,0.0,0.000530712312695767,7
-0.8826,0.2765,0.0901,0.27649280508006435,2
0.9999,0.0023,0.0,-0.0022605529725262976,3
0.9599,0.0394,0.0019,-0.03938266903355916,4
0.9999,0.0018,0.0,-0.0018229046723379255,5
1.0,0.0001,0.0,-7.37398655012072e-05,6
0.9994,0.0044,0.0,0.003963930517119829,7
0.0533,0.2014,0.0454,0.20137710940063516,2
0.9998,0.003,0.0,0.0029640971715391537,3
0.612,0.1326,0.0186,-0.13257788223560743,4
0.8365,0.087,0.0078,0.086961028593097,5
0.9997,0.001,0.0,0.001013072045544883,6
0.9998,0.0023,0.0,-0.0008883510906274145,7
0.0754,0.1555,0.027,-0.15547554391916493,2
1.0,0.0006,0.0,-0.0006158647413423192,3
0.7596,0.0797,0.007,-0.07972254884135994,4
