,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.7838,0.075,0.0065,0.07496769388693703,2
USHighPlain,0.9996,0.0035,0.0,-0.0034893262719301894,3
USHighPlain,0.7472,0.0855,0.0076,-0.08554870217669082,4
USHighPlain,0.9293,0.0451,0.0021,0.045142191217511465,5
USHighPlain,0.9998,0.0007,0.0,-0.0007182085016238025,6
USHighPlain,0.9999,0.0017,0.0,0.0014771750706708024,7
Greece,0.4368,0.14,0.028,-0.14000434996081387,2
Greece,0.9941,0.0168,0.0003,0.016809802146310122,3
Greece,0.9642,0.0409,0.0018,-0.040861641972449375,4
Greece,0.9997,0.0037,0.0,0.0037203291619190442,5
Greece,1.0,0.0,0.0,-1.1886659872855036e-06,6
Greece,1.0,0.0013,0.0,-0.0005899928367716841,7
Sudan,0.8247,0.1084,0.0121,-0.10843147271498682,2
Sudan,0.9997,0.0046,0.0,0.004597180478147414,3
Sudan,0.9971,0.0072,0.0002,-0.007237591438398823,4
Sudan,0.9779,0.0363,0.0015,-0.03625887439317101,5
Sudan,1.0,0.0,0.0,1.2878483948037089e-06,6
Sudan,1.0,0.0002,0.0,0.0002039913765712018,7
Indus,0.8173,0.1225,0.0154,0.12248198229689351,2
Indus,1.0,0.0009,0.0,0.0008574711695365007,3
Indus,0.9924,0.0235,0.0006,-0.023484444570690922,4
Indus,0.9852,0.0341,0.0013,-0.03409845460780972,5
Indus,1.0,0.0,0.0,-9.086328633299395e-06,6
Indus,1.0,0.0014,0.0,0.0005296528975070031,7
Ganges,0.6529,0.1602,0.0269,0.1601508691005697,2
Ganges,0.9869,0.0314,0.001,0.03137819286414151,3
Ganges,0.9385,0.0641,0.0048,-0.06406904253144181,4
Ganges,0.9451,0.0631,0.0043,-0.06308466997056597,5
Ganges,1.0,0.0001,0.0,5.659597943303343e-05,6
Ganges,0.9999,0.002,0.0,-0.0019681372998744174,7
Turkey,-0.2876,0.2924,0.1006,0.29235801768482284,2
Turkey,0.9974,0.014,0.0002,-0.014036619411383,3
Turkey,0.9595,0.0542,0.0032,-0.05421789348230324,4
Turkey,0.9942,0.0207,0.0005,0.020709828890003796,5
Turkey,1.0,0.0002,0.0,-0.0001916861835055496,6
Turkey,0.9999,0.0018,0.0,-0.00032946798348539497,7
Italy,0.4313,0.1429,0.0258,0.14287786801835428,2
Italy,0.9801,0.0295,0.0009,0.029492445422315404,3
Italy,0.9454,0.0488,0.0025,-0.04880782319729078,4
Italy,0.9999,0.0016,0.0,0.0015770268901381217,5
Italy,1.0,0.0,0.0,-4.094323871736629e-06,6
Italy,1.0,0.0008,0.0,0.0002726988602499932,7
California,0.4201,0.1601,0.0278,0.16005485125470018,2
California,1.0,0.0012,0.0,-0.0011837450664100796,3
California,0.9888,0.0207,0.0005,-0.02073525118505486,4
California,1.0,0.0011,0.0,-0.0010891410676864745,5
California,1.0,0.0,0.0,-3.988593331695134e-05,6
California,0.9998,0.0023,0.0,0.0019502804379617582,7
Mexico,0.7546,0.1041,0.0118,0.10410905179651174,2
Mexico,0.9999,0.0017,0.0,0.0017064429404474956,3
Mexico,0.897,0.0684,0.0049,-0.06839160426016008,4
Mexico,0.9463,0.0499,0.0026,0.04992463576545783,5
Mexico,0.9999,0.0007,0.0,0.00067489588410805,6
Mexico,1.0,0.0013,0.0,-0.000402852663600821,7
Chile,0.755,0.0816,0.0071,-0.081649905097409,2
Chile,1.0,0.0003,0.0,-0.0003333645223256234,3
Chile,0.9391,0.0403,0.0018,-0.040265153866656606,4
Chile,0.4887,0.1186,0.0149,0.11859906253805383,5
Chile,1.0,0.0,0.0,-4.902235977072934e-06,6
Chile,0.9986,0.0059,0.0,0.005837330392685078,7
Iran,-1.3512,0.3434,0.1444,0.3433918537574398,2
Iran,0.998,0.011,0.0001,-0.011045324910421374,3
Iran,0.9946,0.0171,0.0003,-0.017056072196404228,4
Iran,0.9657,0.0432,0.0021,0.04321288011590951,5
Iran,1.0,0.0001,0.0,-7.560554278746282e-05,6
Iran,1.0,0.0011,0.0,0.0010383329443758166,7
Vietnam,0.9162,0.0613,0.004,-0.06132053753134757,2
Vietnam,0.9983,0.0087,0.0001,0.008715578774605218,3
Vietnam,0.9019,0.0649,0.0047,-0.0649407131494958,4
Vietnam,0.8541,0.0819,0.0069,-0.08192303211521115,5
Vietnam,1.0,0.0001,0.0,5.0364491435976956e-05,6
Vietnam,0.9999,0.0014,0.0,1.3460202746771107e-05,7
Thailand,-0.8688,0.2954,0.0998,0.2954269983819557,2
