,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.5119,0.1565,0.0369,-0.14811612329487225,2
USHighPlain,0.7238,0.1205,0.0209,-0.039881031220322834,3
USHighPlain,0.6239,0.1431,0.0285,0.09975522165553015,4
USHighPlain,0.5605,0.1452,0.0333,-0.11845877503069739,5
USHighPlain,0.7142,0.1217,0.0216,-0.04519299215369851,6
USHighPlain,0.7178,0.12,0.0214,-0.048793743853927866,7
Greece,-0.0552,0.2256,0.0749,0.2141866796238035,2
Greece,0.6677,0.1332,0.0236,0.024956974391715087,3
Greece,0.4324,0.1644,0.0403,0.12907853361627056,4
Greece,0.6364,0.1354,0.0258,0.049781258480552336,5
Greece,0.6267,0.1367,0.0265,0.05553036168747629,6
Greece,0.627,0.1366,0.0265,0.05651249411242306,7
Sudan,0.4917,0.1672,0.0409,0.16589734603629583,2
Sudan,0.8504,0.0861,0.012,-0.02308372968513259,3
Sudan,0.858,0.0879,0.0114,-0.003813043443416142,4
Sudan,0.8394,0.0985,0.0129,0.037538583624712483,5
Sudan,0.8559,0.0867,0.0116,-0.014536999735782504,6
Sudan,0.8558,0.0867,0.0116,-0.01494377764268434,7
Indus,0.219,0.2235,0.0653,-0.22011184663765468,2
Indus,0.8441,0.091,0.013,-0.014705800581483955,3
Indus,0.8288,0.0953,0.0143,0.031191312784358213,4
Indus,0.8261,0.095,0.0145,0.04209734658593178,5
Indus,0.8443,0.091,0.013,-0.013222564216356371,6
Indus,0.8447,0.0911,0.013,-0.013917241470161684,7
Ganges,-0.0641,0.2767,0.1035,-0.2759886952671196,2
Ganges,0.7623,0.1302,0.0231,-0.05615077913040325,3
Ganges,0.6782,0.1421,0.0313,0.1064374803028344,4
Ganges,0.6908,0.1401,0.0301,0.09733020212038156,5
Ganges,0.8183,0.112,0.0177,-0.007054326937861422,6
Ganges,0.8155,0.1123,0.0179,-0.003493890920901364,7
Turkey,-1.5657,0.3999,0.2177,-0.396700522873891,2
Turkey,0.797,0.1037,0.0172,0.02033696688227194,3
Turkey,0.6998,0.1258,0.0255,0.0853090288951269,4
Turkey,0.7802,0.1069,0.0187,-0.04292985316019931,5
Turkey,0.8011,0.1018,0.0169,-0.005820158875101235,6
Turkey,0.8029,0.1009,0.0167,-0.004672328625640468,7
Italy,0.3977,0.1899,0.0539,-0.11226864649650577,2
Italy,0.6155,0.1459,0.0344,-0.039220046758203925,3
Italy,0.5325,0.1694,0.0419,0.10368039508445474,4
Italy,0.638,0.1433,0.0324,0.015929364223262046,5
Italy,0.638,0.1433,0.0324,0.018078851063135233,6
Italy,0.6394,0.1428,0.0323,0.01760754015250272,7
California,0.0086,0.2154,0.0682,-0.17813195621796857,2
California,0.7261,0.1142,0.0188,0.06928880640985229,3
California,0.631,0.1317,0.0254,0.10100993148497088,4
California,0.7273,0.1139,0.0188,0.06862793715846993,5
California,0.7302,0.1133,0.0186,0.06716714852083235,6
