r²,MAE,MSE,MBD,Scenario
0.7675,0.1076,0.0176,0.05229266603023918,2
0.7069,0.122,0.0222,-0.05300264018636723,3
0.0964,0.2158,0.0684,-0.2123450026349936,4
0.7458,0.1181,0.0192,0.03526410738027736,5
0.7163,0.1209,0.0215,-0.04859276664050819,6
0.7117,0.1228,0.0218,-0.043908001144430046,7
0.4471,0.1636,0.0393,-0.10127340609541677,2
0.5581,0.1459,0.0314,0.08713922498382806,3
0.656,0.141,0.0244,-0.02498366363016478,4
0.6168,0.1381,0.0272,0.06174882383831726,5
0.6268,0.1367,0.0265,0.055526226633644905,6
0.627,0.1366,0.0265,0.05440601600017303,7
0.1653,0.2277,0.0671,-0.22049174172768218,2
0.857,0.0877,0.0115,-0.006004310472914352,3
0.8503,0.0865,0.012,-0.027905905138946772,4
0.7576,0.1084,0.0195,-0.07702455922153016,5
0.8559,0.0867,0.0116,-0.014533515310301455,6
0.8558,0.0868,0.0116,-0.014137779755738466,7
0.2131,0.2221,0.0658,0.2195473062227681,2
0.8451,0.0908,0.013,-0.011697617888245216,3
0.8069,0.1059,0.0161,-0.060737056143837516,4
0.7854,0.1087,0.0179,-0.06917433521249908,5
0.8444,0.091,0.013,-0.01325421743020129,6
0.8444,0.0908,0.013,-0.012256533344911814,7
-0.1625,0.2923,0.1131,0.2889515133730106,2
0.7803,0.1194,0.0214,0.047248328317838185,3
0.6585,0.1548,0.0332,-0.11915530484678172,4
0.6617,0.1559,0.0329,-0.10750165600226234,5
0.8179,0.1121,0.0177,-0.006824296457002355,6
0.8206,0.1117,0.0174,-0.010866782321499605,7
-1.5424,0.3978,0.2157,0.3864254680088213,2
0.79,0.1032,0.0178,-0.032845998092999075,3
0.6705,0.1353,0.028,-0.10854141208850772,4
0.7979,0.1064,0.0171,0.031379115745575205,5
0.8008,0.1016,0.0169,-0.00656499970622385,6
0.7986,0.1026,0.0171,-0.00772532909016926,7
0.2884,0.2013,0.0637,0.14923230434388327,2
0.5683,0.16,0.0387,0.07551474239733386,3
0.5466,0.1555,0.0406,-0.0795070175405412,4
0.6364,0.1436,0.0326,0.020641940177863218,5
0.638,0.1433,0.0324,0.018050625019883696,6
0.6361,0.1439,0.0326,0.018577509933939206,7
-1.0606,0.3241,0.1418,0.32367423321057054,2
0.7352,0.1119,0.0182,0.06479188663987767,3
0.8056,0.0965,0.0134,0.026156628397963257,4
0.7342,0.1122,0.0183,0.06514238851098088,5
