,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.7743,0.1103,0.0171,0.024112480495050416,2
USHighPlain,0.711,0.1216,0.0219,-0.04991099168269594,3
USHighPlain,0.4946,0.1565,0.0382,-0.13259175248550273,4
USHighPlain,0.7508,0.1186,0.0189,-0.003523009984488155,5
USHighPlain,0.7158,0.1211,0.0215,-0.04739412629685514,6
USHighPlain,0.7139,0.122,0.0217,-0.045186207919433244,7
Greece,0.4471,0.1636,0.0393,-0.10127340609541677,2
Greece,0.5938,0.1411,0.0289,0.07208719190187064,3
Greece,0.6695,0.1343,0.0235,0.015599366172302011,4
Greece,0.621,0.1375,0.0269,0.05915000777954689,5
Greece,0.6268,0.1367,0.0265,0.055527760592255775,6
Greece,0.6266,0.1367,0.0265,0.055049080046951415,7
Sudan,0.6602,0.1313,0.0273,-0.12173485512385912,2
Sudan,0.8571,0.0872,0.0115,-0.009931269853862008,3
Sudan,0.8551,0.0858,0.0117,-0.020893824328024165,4
Sudan,0.811,0.0982,0.0152,-0.05140731036996589,5
Sudan,0.8559,0.0867,0.0116,-0.014534288935821973,6
Sudan,0.8558,0.0868,0.0116,-0.014312046856577445,7
Indus,0.7079,0.1257,0.0244,0.1079007097158579,2
Indus,0.8447,0.0909,0.013,-0.012412375264794532,3
Indus,0.8322,0.0962,0.014,-0.036883739680149186,4
Indus,0.8197,0.0988,0.0151,-0.04603697971173776,5
Indus,0.8444,0.091,0.013,-0.013249643235685457,6
Indus,0.8444,0.0909,0.013,-0.012712503623981105,7
Ganges,0.5752,0.162,0.0413,0.15008159763132792,2
Ganges,0.8098,0.112,0.0185,0.02382462318621824,3
Ganges,0.7706,0.1291,0.0223,-0.06598854154803038,4
Ganges,0.7632,0.1281,0.023,-0.06668729223345307,5
Ganges,0.818,0.1121,0.0177,-0.006861444659640917,6
Ganges,0.8196,0.1119,0.0175,-0.008972562715722008,7
Turkey,-0.2525,0.2858,0.1063,0.2744624358373872,2
Turkey,0.7969,0.1012,0.0172,-0.020043424935796392,3
Turkey,0.765,0.1107,0.0199,-0.05755526067164695,4
Turkey,0.8032,0.1023,0.0167,0.014319685832071324,5
Turkey,0.8009,0.1017,0.0169,-0.0063054567728890116,6
Turkey,0.8001,0.1021,0.017,-0.006794663355393938,7
Italy,0.3083,0.1992,0.0619,0.14711077441932402,2
Italy,0.6139,0.1497,0.0346,0.04755670851732745,3
Italy,0.6199,0.1469,0.034,-0.030503389932420053,4
Italy,0.6372,0.1434,0.0325,0.019606477700139367,5
Italy,0.638,0.1433,0.0324,0.018067971260392852,6
Italy,0.6369,0.1436,0.0325,0.01832419547551817,7
California,0.0423,0.2232,0.0659,0.2227401355702961,2
California,0.733,0.1125,0.0184,0.06581566674024776,3
California,0.777,0.1022,0.0153,0.04553897222467853,4
California,0.7327,0.1126,0.0184,0.06588325435297585,5
California,0.7307,0.113,0.0185,0.06693407356151602,6
California,0.7243,0.1145,0.019,0.06903116424216922,7
Mexico,0.5597,0.1677,0.0404,0.09498057935954414,2
Mexico,0.6048,0.1551,0.0362,-0.008433005999700337,3
Mexico,0.5548,0.1633,0.0408,-0.07748898246435361,4
Mexico,0.577,0.1616,0.0388,0.03876301690902639,5
Mexico,0.6025,0.1558,0.0364,-0.009283019435678868,6
Mexico,0.6067,0.1548,0.0361,-0.010262978504385623,7
Chile,0.3104,0.2094,0.0568,-0.14583915419036383,2
Chile,0.4694,0.1837,0.0437,-0.06440124943504226,3
Chile,0.4127,0.1954,0.0484,-0.10364574813106495,4
Chile,0.4721,0.1704,0.0435,0.051355223254927404,5
Chile,0.4699,0.1837,0.0437,-0.06407282316488098,6
Chile,0.4775,0.1822,0.0431,-0.05853541016807638,7
Iran,-0.8964,0.3288,0.1519,0.3243543154485564,2
Iran,0.8864,0.0753,0.0091,-0.0033923345568894502,3
Iran,0.8861,0.0758,0.0091,-0.0103958945110817,4
Iran,0.8494,0.0915,0.0121,0.04808304535748309,5
Iran,0.8857,0.0765,0.0092,0.007577486928713971,6
Iran,0.8854,0.0767,0.0092,0.008616197786777656,7
Vietnam,0.3189,0.2082,0.0611,-0.11049346692569868,2
Vietnam,0.4101,0.1842,0.0529,-0.04140130879987789,3
Vietnam,0.2768,0.2134,0.0649,-0.11683040689128202,4
Vietnam,0.246,0.2216,0.0677,-0.13077731097882764,5
